"Inaccuracy" "Seconds"
"seed=1" 5.53466760300725 0.334
"seed=2" 57.5673343893291 0.316
"seed=3" 23.0280880735604 0.434
"seed=4" 7.94259112844549 0.327
"seed=5" 12.1668859803252 0.297
"seed=6" 4.12077463847165 0.333
"seed=7" 57.2061039080342 0.306
"seed=8" 68.5656922092354 0.376
"seed=9" 22.0221640554568 0.333
"seed=10" 80.0578419231754 0.362
"seed=11" 2.02964619585987 0.341
"seed=12" 34.6904217555163 0.307
"seed=13" 61.9951109656233 0.29
"seed=14" 46.9944586525871 0.268
"seed=15" 9.18277136698413 0.329
"seed=16" 10.3584800292354 0.295
"seed=17" 105.958547310821 0.347
"seed=18" 38.1542263658379 0.296
"seed=19" 53.1507082783081 0.328
"seed=20" 21.0867199689884 0.336
"seed=21" 61.6224780912197 0.309
"seed=22" 10.6408249193064 0.336
"seed=23" 67.2462241740364 0.328
"seed=24" 9.71394565041095 0.343
"seed=25" 60.7485781440984 0.346
"seed=26" 0.739198124145241 0.323
"seed=27" 4.27391871911841 0.324
"seed=28" 0.826225150079052 0.327
"seed=29" 1.72590982723754 0.359
"seed=30" 27.996820253438 0.345
"seed=31" 78.7620847391889 0.371
"seed=32" 16.6450057059024 0.365
"seed=33" 3.59494980969924 0.337
"seed=34" 1.53315694138025 0.376
"seed=35" 11.9380786078595 0.27
"seed=36" 0.656904957175876 0.309
"seed=37" 6.06726420364868 0.315
"seed=38" 59.3167427506882 0.292
"seed=39" 6.98048340111175 0.329
"seed=40" 54.6614382683493 0.335
"seed=41" 1.4791809515805 0.325
"seed=42" 18.4060333670068 0.371
"seed=43" 2.83238470069454 0.371
"seed=44" 13.9112092649556 0.339
"seed=45" 9.1294742622941 0.316
"seed=46" 14.6995498699034 0.395
"seed=47" 40.3838384415456 0.349
"seed=48" 55.5047676539973 0.306
"seed=49" 24.6696266883389 0.356
"seed=50" 24.0842555275993 0.328
"seed=51" 53.9336107261464 0.335
"seed=52" 0.918023087297071 0.385
"seed=53" 4.07853627110939 0.329
"seed=54" 5.51987218125117 0.417
"seed=55" 109.069246097082 0.294
"seed=56" 25.7461386880596 0.367
"seed=57" 0.743963129139722 0.353
"seed=58" 109.066513484385 0.34
"seed=59" 38.4635685734961 0.327
"seed=60" 14.7872556106792 0.317
"seed=61" 28.2357205178173 0.378
"seed=62" 9.32466602571458 0.319
"seed=63" 16.3416475836327 0.36
"seed=64" 42.0873863521581 0.354
"seed=65" 21.0405176091671 0.37
"seed=66" 1.0811634792953 0.341
"seed=67" 5.44613355072659 0.41
"seed=68" 7.21706653711769 0.322
"seed=69" 2.4664627641812 0.338
"seed=70" 3.956599521053 0.365
"seed=71" 4.53338878610104 0.382
"seed=72" 2.90790955739582 0.313
"seed=73" 16.4591493259515 0.358
"seed=74" 40.6262615862139 0.376
"seed=75" 6.3842340624712 0.336
"seed=76" 12.9749292741613 0.365
"seed=77" 31.5632320199185 0.331
"seed=78" 12.5283839568161 0.339
"seed=79" 4.85744405457807 0.317
"seed=80" 65.1055411864374 0.356
"seed=81" 17.4288245969564 0.368
"seed=82" 2.33530982963219 0.33
"seed=83" 1.35662020789955 0.361
"seed=84" 7.45539007306848 0.337
"seed=85" 36.4038206963602 0.342
"seed=86" 3.25860782992648 0.302
"seed=87" 15.6846544198341 0.329
"seed=88" 2.76308609732951 0.323
"seed=89" 33.625745080399 0.324
"seed=90" 36.1628932688068 0.296
"seed=91" 12.8310317899888 0.382
"seed=92" 5.92336435634408 0.348
"seed=93" 51.5882874295756 0.3
"seed=94" 3.44960039910206 0.32
"seed=95" 29.8172895234426 0.335
"seed=96" 42.5775253286356 0.355
"seed=97" 14.0376816018736 0.345
"seed=98" 1.02030313095603 0.37
"seed=99" 11.5675190488132 0.31
"seed=100" 20.9134046863235 0.38
