"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.00997763366588314 0.043720101469078 0.0130023838736955 0.0118779014125952 0.00250078215543345 0.00278274943658112 0.000756874784383545 0.0027885885515728 0.0114460786127342
"trial2" 0.00187019001875991 0.0070581583090916 0.00392568063186733 0.00168307841861866 0.016238607507038 0.00216909750329189 0.0116071053821001 0.0255288204391166 0.0130734744104748
"trial3" 0.000612329489953663 0.0399170361875654 0.00376777810421106 0.0050402702223997 0.0232240381295467 0.0195896390805123 0.00550662375811504 0.00427106995017667 0.0238746900454899
"trial4" 0.00808106867902382 0.0217809366501852 0.00201296971062522 0.000419609625728524 0.0650077787730847 0.0028439324974043 0.0124112349313175 0.00518161048737191 0.00239099784363163
"trial5" 0.00551446077965875 0.0062047966336956 0.00675500090149328 0.0144072936558136 0.0245698917447849 0.0428537269039755 0.0445214338422226 0.0331139949478195 0.0225330643818211
"trial6" 0.250905858339407 0.0225684115511906 0.0082401180648554 0.00460556122532022 0.00821692353380626 0.0524494045089626 0.0340595088886224 0.0610356683751619 0.00898706194328314
"trial7" 0.00683995028849739 0.00658347916045766 0.00841588442381947 0.00739142391902547 0.0146401171476764 0.000158235109845113 0.000514136000714282 0.0304006814590023 0.0195545358059571
"trial8" 0.0691310253460097 0.00222822138761639 0.00126389132993498 0.00793736645087525 0.0025731506559403 0.0219252919288407 0.0157619963761796 0.0405957880920156 0.0424444265234005
"trial9" 0.0452495045583506 0.000260667230340603 0.00176221956533878 0.00893342227719968 0.0522863575696724 0.0192252140839933 0.0467140116880535 0.0329650911208404 0.0581437685837931
"trial10" 0.0569106975339279 0.0246763040822122 0.00840988086029104 0.0451835998547824 0.00467432391740166 0.00996308265793796 0.0102307682261556 0.0230285368356905 0.0443230867199285
"trial11" 0.00108161732906221 0.00140828739864371 0.00143671564156559 0.0110345814245574 0.000228045454392456 0.0353621956963929 0.0134136935293931 0.00323508909593162 0.0661931474189654
"trial12" 0.000908953238293368 0.000470453302750294 0.00878484022004766 0.00156160880698886 0.0242919837193136 0.0104287281538588 0.0130373393930397 0.0152352642341023 0.0435495607670062
"trial13" 0.0311865920164427 0.0156293548782474 0.000200759756894533 0.000836773167575569 0.00178243163244184 0.00270872569076908 0.000232952837694788 0.00153398112731188 0.0115854826435716
"trial14" 0.00524827708678343 0.00316425091540215 0.00155340044643314 0.0195412329554721 0.00924392643227027 0.0084617764243516 0.0190856387130546 0.00791213714854643 0.0298362012386832
"trial15" 0.0510381793183068 0.00694079160886735 0.0338819721186145 0.0499848215920138 0.0494508870389069 0.00323102119287301 0.0109498234559898 0.00834001324049606 0.0472837192307927
"trial16" 0.0139085220145456 0.00193631005912156 0.00317630013109977 0.00824874842800844 0.0100730608505622 0.00426989002521438 0.0140086720965239 0.0183366764859984 0.00125037758589615
"trial17" 0.0388187246013127 0.0219342994758745 0.0019850640454023 0.0337849721008644 0.00738627030551997 0.0324746964377181 0.00250064474105776 0.054902595423828 0.0332453844709797
"trial18" 0.00122201483798474 0.00639230353335999 0.00383705090485348 0.0248865974182606 0.0199310217322213 0.0025582522783042 0.0386608423950541 0.0173121158072751 0.0211996113441368
"trial19" 0.00926634023180023 0.0102961166481696 0.00230556349826466 0.00229849610863009 0.0147339827201677 0.0287117853289924 0.0121757856128548 0.00149793321881816 0.00598483354914328
"trial20" 0.00185681098439797 0.00105035267490039 0.0400218043896952 0.00548290188522022 0.0249844269536575 0.0058919248290647 0.0196736013511957 0.0100929179631688 0.024415551335319
"trial21" 0.0174803054200433 0.00317919396245767 0.00240761057804688 0.00187916433056287 0.017120068048469 0.0266028731227038 0.000814586297396936 0.0287383687824807 0.0430036802835218
"trial22" 0.0650322453035216 0.00510390162434778 0.00129316170168177 0.00895991027692138 0.000339977967801646 0.00159088935273648 0.0229592480185718 0.0250049883605935 0.0235998702828021
"trial23" 0.0129207855040876 0.00955498744958203 0.00147895304933058 0.00977147692926359 0.00325760324951528 0.0129687110598037 0.00998843816106603 0.0308902638517062 0.0626111475238943
"trial24" 0.00556742730597654 0.0313445234183288 0.0307464656448774 0.0002647553185719 0.00235059281709869 0.0439198655471073 0.0138606786989686 0.0466074761800439 0.0176696029209682
"trial25" 0.0371852420148032 0.0323112046000273 0.0107828390924033 0.0213060898924932 0.000742003170828736 0.000390203036585588 0.0132350610318785 0.0176027687262609 0.00449559789510421
"trial26" 0.00423479878575705 0.000735947014820023 0.00193961716057331 0.00105039855747801 0.00430336361567174 0.0173816682683809 0.0308873637415811 0.0244151441278921 0.00202375485560696
