"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 92.7249650078128 94.6585500166576 91.0959397015104 90.3402657547503 91.777798443929 91.6738074644202 91.4152106390554 90.1756327733944 92.5596968151919
"trial2" 95.2938254326301 92.1374532775121 94.765921509517 92.3226146559051 92.3009074402158 91.4777353576306 90.6208970244675 92.4228286738186 93.4074151829696
"trial3" 101.749052806832 98.2160578583149 97.1154593322999 92.0831602835926 91.6214073191163 92.7288191745068 92.5105520317619 91.027763377756 93.3875882850767
"trial4" 99.1670072509111 97.8290739005101 93.6960027769985 92.6388040941972 90.5279439762737 89.7691146128628 90.1151439874748 90.6477859624281 95.4009665372647
"trial5" 94.0808236172476 95.1952485360652 92.8842682074926 92.983162524323 91.6508620324971 91.6604607295816 89.7981707735083 90.7541259367936 91.4723503602495
"trial6" 96.3345723770584 100.360913162635 89.9207425320238 91.5876653405067 92.3569932562183 92.2822884820047 90.8717371276503 93.1905296696038 92.8616421133957
"trial7" 93.6454413980964 97.0797143585011 96.2274833062043 94.1701642815056 91.8550949922564 91.9830178362685 89.5694219982748 90.252503575687 91.868113230913
"trial8" 95.7993846755207 95.7571223791595 95.6526543580979 91.9866029035443 91.8003025255118 91.1911832690939 91.0818582057321 90.4936777678217 92.0335204651147
"trial9" 99.7356798637638 94.7693660413541 92.8978857908478 89.1551641904945 89.7207314303199 90.419105370728 91.1391602975849 93.397240016217 93.8078866642418
"trial10" 92.9908928684727 96.7912551314348 96.2884516105493 92.7625154283 92.5909185138337 91.9200108831843 92.7232205079392 94.2898472595447 92.4365406985749
"trial11" 98.337324533253 98.2469736269285 95.0039854917537 95.1875857156129 91.0705144353497 88.9140359396809 87.9359987341816 92.0681158819673 90.3218008439347
"trial12" 93.4758541270603 95.8224553004221 93.4893847193734 88.7820491988033 90.9426796988574 90.1090160253928 90.8505751490843 89.2101567633391 89.8009841233994
"trial13" 98.1606177948459 96.9280060404469 94.4699938449811 89.7602336121593 91.3738376562877 91.0940806967046 90.4876376308919 92.7596052813152 93.3367942587337
"trial14" 98.3420198396834 97.1866800893171 92.7636818893275 91.1976551148974 89.9121270115508 91.6669192573443 93.5334903109937 90.7275840050362 93.8592511202178
"trial15" 97.0006102270916 96.3282888841966 94.9128315748635 92.5974901307485 91.5428042311766 92.9598858955915 91.9272358275903 90.5902720620034 90.4392360308058
"trial16" 95.6733917618881 95.9975204659359 91.7135407887282 92.0953118263442 90.9661464123114 88.818043018949 92.2718283606181 90.795476095438 94.2508121397804
"trial17" 93.9719184161893 95.5475221776518 94.9762475688162 93.2111736642111 89.9064699258229 92.9717580152718 92.3508999711485 87.3484349124083 90.1386003708203
"trial18" 97.6108481881634 92.5846878439151 92.2320385646021 94.1231055841184 92.054035518122 90.0116574763756 93.1709946290371 91.0644073178435 91.5952850388516
"trial19" 97.7902573038632 98.023693645058 91.3663468606798 92.9758497942812 90.0363995389723 91.9300268864125 92.1497946737467 92.4948274210514 90.4935634016925
"trial20" 94.7046511407504 95.1406083077054 93.2020821726069 94.4522371983304 89.9115468496483 91.5606710518207 92.1403552923049 93.7245432457559 93.594915972048
"trial21" 99.4470850447546 96.1817262059027 95.5353697844131 93.0628656770906 91.6619468901608 91.7325277001644 91.1889819721715 94.2792800332429 90.7763377139526
"trial22" 91.4750032536665 94.8180182705359 92.1767505837595 92.5772217268219 90.2085777370313 93.4967449958702 91.3738948478103 90.9362155625602 91.6858595927652
"trial23" 98.0630660915053 97.8644524099255 98.4492467665854 90.7703897518515 92.7031386204668 91.9831982365484 90.8732107503902 93.4502616791395 93.1401857080316
"trial24" 99.9104720523994 98.2937661360057 93.6554154954874 91.2515928385566 90.5962084437178 95.1327159123808 91.1049713025127 92.7105727131956 91.8370173137738
"trial25" 94.9243398739973 96.0455305051454 91.945007473559 91.2066253404994 87.7023563073292 93.2211542995443 90.69708401995 88.5650318996014 94.2703374070619
"trial26" 99.754840153106 95.4195410673496 94.7692941104775 88.8449419314404 90.9102842387013 89.4715481658551 89.9634238327826 87.6249110414817 93.4581012983147
"trial27" 97.1304972330737 96.5960579644328 93.4617989478154 90.8773664459785 90.4438172360294 93.4277199936636 89.2773787491389 91.4005598259298 90.7117279436369
"trial28" 93.6708115846029 98.4187881339889 97.1807535868786 96.8831433856331 95.0596611932025 89.9620586481879 89.9358874229536 92.4025664384471 90.0026418379782
"trial29" 98.3613928281777 101.402037654658 96.7252761637955 91.9100947148839 91.6701228772273 91.782512328799 89.0985883386179 88.7680049897443 87.8502301434241
"trial30" 95.9335772257788 98.6466593977546 89.8145707806374 93.3587285669034 90.3678353618287 88.3980352918689 91.741530921135 92.1203975006764 91.330412693962
"trial31" 96.454912753784 94.5005355557153 94.151264326476 92.089214964463 90.2378215022176 93.4791996019306 89.3103530854124 91.3704456168881 92.7755461181273
"trial32" 93.9677875884015 95.1134547192324 95.2391768024574 92.0936313751377 90.5248813016021 93.3289112369003 90.6329673848284 89.795361504229 93.910916515926
"trial33" 93.0247524281277 96.451928127229 94.0745549686562 93.5085973302472 93.5192629784489 94.4061564068512 90.5582980579069 95.1265531823526 91.6096961814474
"trial34" 97.4792851958422 97.4898773563822 95.1390110470385 94.3601083968632 95.0187011308946 90.4526990427292 93.7651486451732 92.4058521198681 93.1268840242575
"trial35" 92.2879511992999 99.6750036213938 92.3788204873667 93.1603844676274 92.3280419031847 92.3031642898697 92.9977113202449 89.5453275680156 90.6037375190719
"trial36" 96.5605278251537 98.6622234656544 93.6859646116809 91.571599534584 93.5734307652793 91.4561059791195 91.5207135181743 90.6745226295166 93.6933800250758
"trial37" 92.3909066408797 95.8779179488837 95.8092613932848 92.9610907033525 90.2805981018193 86.5752487797836 92.0223782451826 91.8950097414549 89.6538073884233
"trial38" 96.5911315433794 93.1203630856462 91.7911200249558 88.7419541529944 87.4993077448614 91.3876713205364 90.7667877930591 89.0383799237555 94.3556277889246
"trial39" 95.7860451242675 92.085935715008 90.7360295426754 88.2559378710903 89.606025038055 90.393727962533 91.5023374062786 88.6670794405658 89.5062167410394
"trial40" 97.3428053056254 99.1103867001437 97.0045160570909 95.1858574311341 90.8408904459648 91.0973557841074 94.7478161656151 90.3040796034889 92.1864316588655
"trial41" 96.9422500592942 95.7435566096029 95.0055593844968 93.2488793693493 87.3119122561486 91.4491664815533 90.2169344588719 91.340507232247 91.8886541984721
"trial42" 98.9455011028256 97.7345110928992 95.4664165725805 93.505701610276 91.3814540641163 86.7882317067988 92.7306574729422 90.0519685105803 94.0256080365712
"trial43" 99.0938338623268 92.8586644777674 92.2330654125277 89.7845870264393 90.756065476067 86.1582489420641 88.4729840490189 88.6080874530098 90.8515385293208
"trial44" 91.7000283365246 94.2781376944017 93.7675414352474 90.3958788379063 92.8746966366277 89.4529067009233 87.8954332581627 91.1287521220026 90.3523167832597
"trial45" 99.5154618949441 94.1745350658078 91.0234333501728 93.3590257444282 89.4373547380964 91.0441130413503 90.3577230109254 91.9992704892491 92.1017201729618
"trial46" 96.8435967651471 94.9904199431406 90.8438817395167 93.6787349101607 91.1139885543759 91.6865832847377 90.4938122892899 89.5780826377546 90.6302189042879
"trial47" 98.2926990576555 97.631240492246 94.6366436884777 94.0543707617891 92.7875482571747 88.4033609213617 94.2344312019175 90.2710148758846 94.0702441491999
"trial48" 97.3666722140101 98.4008854454693 96.2880456008935 95.4597197874282 92.9677235341125 91.9842494635779 94.6460835118482 90.7595693365786 92.4627781698054
"trial49" 93.9850953778252 97.6348348182539 93.2415340695904 91.6163095038714 91.3492650801928 88.528749771991 92.3990107075054 92.5272209313464 91.0600107280865
"trial50" 97.6706629644125 95.905947054578 93.4547094990897 92.8760741082025 93.8898325168539 92.6441653478242 90.3288740383383 92.8094069574889 91.2856019609988
