"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 100.8239764987 100.211211625122 101.381509128874 101.873114688852 100.933391742095 103.427122051795 101.290408474589 102.003589920166 103.306653930677
"trial2" 100.450969593022 102.880164990288 100.070166871532 101.456846158863 101.919164148529 102.367617562087 100.826786450636 100.227113737346 100.923337501781
"trial3" 100.991065882521 100.437440591089 101.831307216349 102.353093608521 102.29969748502 101.010037176922 102.005464424921 102.250738447707 101.717702233593
"trial4" 99.9232965454003 100.631866598593 100.792317878021 101.544677979127 99.6189541303152 100.742017054371 101.400743777535 102.265754152827 101.502409271223
"trial5" 100.971515544168 101.069834878773 101.327443830954 102.956807536149 102.174122864542 101.560736756362 100.138608159407 101.554706839102 101.482640506126
"trial6" 98.8148366521528 99.8662501528641 100.034056604369 101.464812243531 101.720105404871 100.492012765739 101.210046624886 99.7998783365466 100.766832652555
"trial7" 101.060869190101 100.677840792997 101.720639422386 101.632767515824 102.955990743997 101.822253053686 102.372763712599 101.406063103967 99.360554061098
"trial8" 99.5101264501793 101.95262864057 101.855416410122 103.290708872621 100.898276608145 102.264400204159 101.101396753632 100.299711208331 99.5576248752418
"trial9" 100.351658126898 101.385169035078 101.120054788993 101.203295439799 101.571083655634 100.427799844322 99.6028811427927 100.586546850163 100.326223871453
"trial10" 101.074998377609 100.712006544293 100.683174319919 100.987026719479 101.075073362864 99.9099178397374 101.49705554345 100.158297066348 100.625075227268
"trial11" 100.704825304442 102.18103698271 102.607630938819 101.615598279765 102.120403880536 101.110228855842 100.937906858322 101.489077433188 99.746401650583
"trial12" 100.641339688627 100.915424787999 101.027311625632 102.964244897846 101.583124990475 101.866472076126 101.09488560237 101.604547703046 99.751483482572
"trial13" 100.124606793351 100.952875687236 101.138925843736 100.709113121368 102.371189912446 102.920502270215 101.976247446059 101.325194066454 100.347602571646
"trial14" 99.7495068591809 101.318829183548 101.320644872889 102.311598892366 103.137130109539 102.915859670293 101.083012808245 99.880119142573 101.141281654786
"trial15" 100.042017285501 100.742961293443 101.823421141797 100.492121266783 101.054446861071 102.052224892173 101.642020807494 101.36203801796 100.998408922335
"trial16" 103.221829953027 102.749251879016 100.854624275285 101.694827639966 101.479150452484 100.699058289454 102.114364599455 100.339197496215 100.479508925409
"trial17" 101.055620927113 100.365783348433 102.124970632123 101.967667365878 102.210573498165 100.40355222403 101.970348040648 99.9758358682086 100.04194427615
"trial18" 101.346052874335 101.347430752209 100.837337522488 102.123657463428 100.676161821436 100.990638024755 100.452883188004 100.765356012622 100.704732368902
"trial19" 99.8999352439299 100.561497992873 101.769304978776 101.827200400562 100.74799902225 100.657629538339 101.387935914359 101.819008520069 101.600952319052
"trial20" 100.134443866032 102.240507752849 100.102433462492 102.150614831852 100.379494088696 101.213393765894 102.361706458243 101.397395570648 100.524349492135
"trial21" 101.827569836479 100.042710046037 101.855813804861 101.657562156549 100.760447360605 102.123073384253 100.906519055511 101.672828641863 99.7937521659062
"trial22" 101.363711108548 102.278385269009 101.703897110394 100.621894174955 101.707763238949 101.354251095528 100.535820124915 101.295808154448 100.35829313847
"trial23" 101.247246312412 100.86110228435 101.101133554128 101.661945636128 101.880007049595 101.485870348577 101.840676273032 100.584109507966 99.1434568755581
"trial24" 101.204607635413 100.327843666858 102.235166791214 101.495197679145 102.443335641994 102.338384611203 100.524086539164 99.8930132973289 101.564452755595
"trial25" 99.9386169201118 99.9617311073486 100.900260857104 102.0350339026 102.383263770488 101.714459326437 100.032825545758 101.455426582544 101.100765390317
"trial26" 100.68321763281 101.925454267627 100.870061737338 102.532924365646 101.233520202524 100.972976577507 101.414434940181 101.684813636807 102.50669539332
"trial27" 100.524240099452 101.150329163475 102.53151085417 101.623237287412 101.521264351666 101.995673858467 101.219101085287 100.994879513007 99.8494793390219
"trial28" 98.2339383591549 99.7026071433942 100.923362000204 101.168993378274 101.019553822387 101.60631296654 101.979055949148 102.195565305243 99.2899038255533
"trial29" 100.396826121448 101.778026633245 100.562079058201 101.23765792039 100.145584059366 101.178187222003 101.759889766705 101.685140787238 101.131942870555
"trial30" 99.9803388763854 100.07252400395 99.7812909043264 101.25674185377 102.448014310796 100.179795733063 100.26765134944 99.8506009439012 101.021902275964
"trial31" 99.6407436211726 99.4214792679676 100.586085059376 101.374603419396 102.036209659324 100.599499685113 99.0783479671404 102.324020515245 100.333142403806
"trial32" 99.3890013995021 101.282599292581 101.421193032892 101.620428872005 102.004117846675 100.353695317289 101.977020942393 102.457366715028 102.089163084665
"trial33" 99.4643713301493 100.665065021975 99.110966707966 100.865653490574 101.724659872293 103.520666337305 99.9348044047843 102.241833008556 103.092052466247
"trial34" 100.531246010008 101.109540276027 100.164056289668 101.502649996275 101.242856990017 100.437176765329 100.15881460156 100.676958183605 100.261577060416
"trial35" 99.0040204273583 101.19943240434 101.629706154931 100.955655832076 101.06549867541 100.306950454973 101.415700760814 100.657547663454 100.957185445454
"trial36" 101.787034551001 100.613317889778 102.184776635414 101.233324884947 102.364437938436 101.28607362769 100.19338283744 101.932210066023 101.707017213455
"trial37" 99.8874051677718 102.045385064686 101.164098940678 102.688492651303 99.9694785562687 102.47435758936 101.727598628455 102.222330523398 100.527069986127
"trial38" 98.9795002078297 99.0123037305547 100.76873084116 101.846270544682 102.032428151826 101.684364727361 100.08353975008 101.15078473978 100.887877696161
"trial39" 101.166345830807 101.780381220758 102.797557154162 100.787583533642 101.842461985985 100.500305781585 100.80844292502 99.9690333018797 100.52968849175
"trial40" 100.063917648711 101.714898731903 100.50265247947 101.948430996885 101.882685837473 101.623524062721 102.945643136968 102.497597558317 102.315064449503
"trial41" 100.823092189031 100.497679661807 101.697584524834 101.33509003942 101.59687750296 99.9931419926415 101.079423567024 100.927854267388 99.5303222783196
"trial42" 101.831517498098 102.046185198558 101.180392468225 100.429802669559 102.079472079098 100.375989201506 100.242416648261 102.210692936022 100.767016283843
"trial43" 100.550939273899 102.014250506925 100.104043205726 100.937767396196 99.9140801545836 102.822090200405 101.000603632539 99.5215209130084 100.434295412556
"trial44" 101.127124376355 101.710073625947 100.93749693503 102.909600116938 103.65149892719 101.52658506654 102.176418503516 101.948390409089 99.7390399737296
"trial45" 100.314738034691 101.257053023414 102.432422124156 101.411523204876 102.007964861621 102.082116476719 101.304431203617 101.639278131412 100.623581017728
"trial46" 98.9798966136958 98.9563467471596 100.745864097434 99.422842502145 101.537260951815 101.729982263934 99.1171184315545 100.725001258056 100.224283434766
"trial47" 99.7663557340437 101.539483537839 101.926584621855 101.671783381429 101.34578064378 101.870888113912 101.0276422773 102.193092820714 100.514036345792
"trial48" 101.209738953436 101.764730563044 102.004462390907 100.689843494967 99.7166259193919 101.00220758966 100.581759280032 100.53269953414 100.333769282305
"trial49" 99.5542955220414 100.929392233018 99.8228631345806 101.359174236749 100.99835385377 101.187419757316 101.34545648416 100.527814252276 99.1061144660399
"trial50" 99.6564169419601 100.795315998298 100.485579441943 101.873757711252 101.051026502618 100.676124023105 99.9292336347049 100.441670899059 98.6211893337636
