"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 100.339269802907 99.3496569685642 101.563496964843 102.66170136491 103.372370353746 102.949922303088 103.875222249643 103.158455017865 105.46910486564
"trial2" 97.8942256707443 97.9991345320756 101.140237559136 102.869714850922 104.183319825523 103.342806126229 100.58108804309 101.28194146719 102.096160056709
"trial3" 99.604984913931 103.11987575511 101.493772420938 102.058912399422 101.764584185833 102.724702226562 101.606077246332 103.410411435994 103.247708489568
"trial4" 99.0301798093712 101.441897509016 101.308114604589 100.094459314503 103.493146305567 101.663920745819 100.982966701135 100.960232163166 103.328635499133
"trial5" 101.916417500669 102.487392932328 103.34480799967 103.362518115322 105.409970031223 101.344427270031 101.603412173464 104.493805529186 102.504955515117
"trial6" 102.354781953668 99.7361310985862 101.713478240377 100.535387949505 102.185995497145 101.591735497091 100.124694048148 101.545721110934 103.98730675262
"trial7" 101.083813297581 101.424949354652 102.600619203696 105.100818720153 101.591696017901 102.381710115971 101.892340714125 102.296417107439 103.861167360215
"trial8" 100.823878692586 101.628748505812 102.823855131347 101.695123858086 102.432515607274 103.618200786996 103.63990935942 102.691381138335 103.015764638734
"trial9" 102.297652601466 98.7249817785803 100.83480991108 103.802199870654 102.324423671457 104.181280730088 104.356724759375 103.115320770435 102.945764947488
"trial10" 103.302438056017 104.253048946611 101.168783345867 102.013022972209 101.945363541253 104.114107978966 103.602566554115 104.004237161439 102.479675841573
"trial11" 101.492278896287 101.966452636943 101.651981315591 104.270351894617 102.097857693137 103.531658471078 101.774686395875 101.812136238188 99.5587868423951
"trial12" 99.3301096301326 98.8299730268175 100.270625325284 103.556146525669 101.791469227985 104.758872891354 104.509582763682 100.885907405214 104.624642021985
"trial13" 101.942928556768 99.8769659517775 100.870308810626 103.712247144819 101.823800183036 102.752928295929 103.978320420157 106.960246746208 105.578764549342
"trial14" 100.235740591731 101.070540271302 101.106858117518 102.475937659666 102.032335591994 103.61577014596 103.627603776224 102.244150709458 105.162081334521
"trial15" 99.9798851501597 99.6241494381529 103.23220302787 103.140008145098 103.825434502631 102.108268675586 102.176772959679 103.162354742789 104.042606381127
"trial16" 98.9536096974347 99.3338751378678 103.720912974758 100.811277766597 103.173200779352 103.328041527454 102.713830754658 103.529073090022 103.73049295249
"trial17" 101.293965305027 100.614951320112 105.222061636902 100.504943386154 103.584677965012 101.300303672815 100.245496271867 102.56669409208 102.152434111263
"trial18" 103.022514481841 101.788326833275 99.9281828984345 105.090310880042 103.16791514607 102.766803614617 102.005323429971 104.369168698945 101.674034427824
"trial19" 100.513718367173 99.3081639180124 100.375995732598 102.427729910486 100.8200256397 102.738248332986 104.188852817972 100.651131189281 103.084409726957
"trial20" 99.7316236064289 99.6146833890772 100.441390371026 100.155835372295 103.814649267947 102.838230032444 102.614744002894 102.956637866669 102.563835992755
"trial21" 101.28555715508 102.819213592341 103.427583849683 102.054223685142 102.517588534087 102.914992212924 102.91353954742 103.812484205884 103.782525979457
"trial22" 103.061112809309 102.24462957436 103.228327911121 102.892659593521 104.423851432007 103.87256177517 102.444434637819 100.515777709591 105.976981164754
"trial23" 101.318239829501 98.584492229061 102.344531548769 102.08041653525 102.067099131731 102.083570727601 102.564945547242 103.150228192487 101.638890735782
"trial24" 100.095048863525 97.6468388769968 101.695586291607 101.951631434189 104.163041791146 101.146610380798 103.503506114508 101.495451531416 102.449123196403
"trial25" 100.264967400624 100.298866440164 99.0155979859798 101.642084860648 104.870247443811 102.743844042258 101.512978873393 103.081034044145 101.095385993752
"trial26" 101.175299349221 101.910014049771 100.601994982081 103.462494090051 102.277253409659 103.827461228445 103.88492267799 100.625622182188 102.927968217169
"trial27" 98.1235608158038 102.748452339818 102.678911183903 101.778439573522 102.676733113475 102.695826264431 101.240043962017 103.654131984026 102.993765689282
"trial28" 98.4842852502022 98.7689614744222 99.4670833841598 103.862751829015 101.664960803292 104.113154888424 104.903888711041 102.834514689827 104.057980988674
"trial29" 98.7996387594913 98.8552558053539 99.7631591652017 101.332514695302 103.375149645777 102.4357994739 102.863010761283 102.703158911696 104.11793343221
"trial30" 100.832860338776 100.705863681634 102.059620634617 104.122826864356 102.156748278531 103.454637393611 100.84514740067 103.990694208632 102.364303035252
"trial31" 102.205319655148 102.385985735139 100.685823677682 100.931640613441 103.127496280973 103.145351096023 105.757149032953 103.580429573069 101.248803612585
"trial32" 101.926099172718 100.539180259074 100.948866773787 103.216215808469 101.62928531009 103.815906968515 103.135738496265 102.395057448069 103.263421142191
"trial33" 99.5902501209006 99.0590039860635 99.9467763491258 102.029127796569 103.174697194208 104.434091163419 102.383846133991 103.385676393035 101.272486920466
"trial34" 101.913166306245 102.205925022316 103.750014254361 101.49817995743 104.370180013935 100.960223716562 104.522263047432 105.328437245367 107.982004525257
"trial35" 97.9040117523929 101.582819958513 100.987836945969 102.694525883933 102.460128963118 103.165588155413 102.294281387947 101.340569730863 101.410791729593
"trial36" 102.687974593453 101.011109155718 103.19934363574 100.691309956265 103.40909751043 102.31822796902 103.18905201197 101.50373805875 102.720397110908
"trial37" 99.1206011634956 101.338664546302 104.282296534174 102.604030513558 102.357718502219 103.80995969189 103.799956411349 102.454894274399 103.29807459092
"trial38" 99.6780231493363 100.871081206146 101.562398221658 101.81230919747 104.107655283007 102.233535420094 102.499491786162 104.279745841386 103.789462279519
"trial39" 99.1002101049486 101.35245144635 102.610130420858 101.370267873132 104.910955041783 105.10354998801 102.095889978692 101.184649314669 102.605709098455
"trial40" 100.082928928415 100.537730718255 100.904552775629 102.880380592884 103.368510420727 101.844773493855 102.238997445928 102.259983115958 104.140236291636
"trial41" 99.8840186131918 101.8600554875 100.827804182267 102.312209240056 102.054084252289 102.157996993201 102.357187721384 102.23113496297 101.529543754475
"trial42" 101.505437365334 97.4987522425724 101.889694222291 102.586184634663 100.985582266247 104.507130705597 103.497117574416 104.418049188496 103.401071944607
"trial43" 98.9002807612586 102.077852228326 101.644195237114 103.105029459539 104.321712601094 103.405328303113 104.266976302327 103.959088058594 102.136491778699
"trial44" 100.36897368921 98.9122802043351 100.610165474445 100.910442896474 102.549285819285 102.863000157192 102.277910716947 100.102155887997 101.301582281738
"trial45" 100.858249502674 99.4507513455921 102.644691283401 102.269227479211 103.532898977192 103.317548915307 101.395495582399 101.548291543409 102.368103727675
"trial46" 101.728244914666 99.1070859231264 101.693155103322 100.446525743306 103.594861557741 102.223155707008 102.983628454123 102.632061632516 103.557903806231
"trial47" 100.901360783264 98.2768729248557 102.533228819908 104.330018235517 102.910474643754 102.728291119071 102.57012886721 102.338957908811 102.573143245127
"trial48" 101.619754233882 99.9531950935313 102.857923176442 102.984981859116 102.759142989856 103.854356982284 103.323848118737 101.136813076564 103.803819270159
"trial49" 100.39040597906 99.9518559469418 101.036244653965 102.199977267852 102.220862006453 103.1994077707 100.576487151424 101.008371195404 101.467232435112
"trial50" 100.055630664068 101.25674200326 101.898811730178 100.065082713611 103.806422680342 103.865291147116 101.578364907621 104.109087623853 103.757555933206
