"Inaccuracy" "Seconds"
"seed=1" 0.0257027144403887 35.854
"seed=2" 0.00674663239939397 27.495
"seed=3" 0.00115271470026755 30.241
"seed=4" 0.00546397529712702 58.624
"seed=5" 0.000916378553707426 31.2
"seed=6" 0.00263734972948765 34.696
"seed=7" 0.00143116060395267 34.676
"seed=8" 8.68833298484491e-05 52.026
"seed=9" 0.00543059755306624 54.166
"seed=10" 0.000668129663905916 25.885
"seed=11" 0.014458600978943 48.316
"seed=12" 3.78976510238409e-05 53.729
"seed=13" 0.00506140029102178 52.89
"seed=14" 0.00331860533410289 31.909
"seed=15" 0.00105132363534241 30.15
"seed=16" 0.009635687987042 33.783
"seed=17" 0.00218092588609995 35.517
"seed=18" 0.00106261260769625 51.817
"seed=19" 0.026360178929492 28.208
"seed=20" 9.89652973452705e-05 28.211
"seed=21" 0.00584052027132875 34.562
"seed=22" 0.00507433301055475 25.616
"seed=23" 0.00140395380924735 51.345
"seed=24" 0.000454754613494366 28.245
"seed=25" 0.000991075051042165 51.08
"seed=26" 0.010874868542363 32.818
"seed=27" 0.0170436553581889 51.166
"seed=28" 0.00494002985435171 33.822
"seed=29" 0.000114785039465564 53.76
"seed=30" 0.000624512070535223 51.193
"seed=31" 0.000154292586551247 53.993
"seed=32" 0.000294498811078453 32.01
"seed=33" 0.0148723064501301 53.936
"seed=34" 0.000371337860024464 52.956
"seed=35" 0.00383696964555197 33.747
"seed=36" 0.00291679404465455 30.109
"seed=37" 0.00997426580364884 31.928
"seed=38" 0.00024567701211134 31.013
"seed=39" 0.00279077737138913 28.28
"seed=40" 0.000152461007773755 29.347
"seed=41" 0.00281836817633857 52.941
"seed=42" 0.00163159756853195 58.788
"seed=43" 0.000408650909842261 36.876
"seed=44" 0.00083393258643702 30.928
"seed=45" 0.000220791672669398 37.718
"seed=46" 0.00500516183403883 60.458
"seed=47" 0.0141079039178124 43.982
"seed=48" 0.0141283025883788 57.721
"seed=49" 0.000883435166847005 60.604
"seed=50" 0.000212449456536932 57.723
"seed=51" 0.00455766656033393 36.997
"seed=52" 0.00438602311575636 80.368
"seed=53" 0.00792150023601748 34.975
"seed=54" 0.00723255204184878 57.596
"seed=55" 0.000474894923075275 32.146
"seed=56" 0.00103085640477758 37.509
"seed=57" 2.62746601878317e-05 58.085
"seed=58" 0.000148358307022748 29.184
"seed=59" 0.000889093166204786 35.545
"seed=60" 0.000608905735726276 36.455
"seed=61" 0.000370961737920102 38.013
"seed=62" 0.00036246770968694 40.019
"seed=63" 0.00221829429819095 35.912
"seed=64" 0.000830930404845754 31.879
"seed=65" 8.34572570370906e-05 59.825
"seed=66" 0.000566138985246526 38.214
"seed=67" 0.00515750834619176 38.004
"seed=68" 0.00103036977487776 57.548
"seed=69" 0.0228289536231282 38.156
"seed=70" 0.00854334009929652 29.915
"seed=71" 0.0081596966571821 25.762
"seed=72" 0.00186990436094305 33.017
"seed=73" 0.00240226647562742 60.802
"seed=74" 0.000624769106438884 58.694
"seed=75" 0.000124483645730044 37.101
"seed=76" 0.000976103639455159 35.966
"seed=77" 0.00353366341140799 58.654
"seed=78" 0.004763850537744 51.484
"seed=79" 0.00156698716870018 59.279
"seed=80" 0.00160708388918142 42.35
"seed=81" 0.0161980284606468 60.097
"seed=82" 0.00341310088666761 82.605
"seed=83" 0.00469798369895463 53.792
"seed=84" 0.00376726330221483 37.047
"seed=85" 0.00109686316688303 39.117
"seed=86" 0.000813496058292543 38.163
"seed=87" 0.00330001904948794 22.701
"seed=88" 0.000101270188223986 54.711
"seed=89" 0.000172965468282962 60.996
"seed=90" 0.000297202032373072 69.599
"seed=91" 0.0105253102553556 30.014
"seed=92" 0.000113814419507974 36.273
"seed=93" 0.0182306636761638 42.468
"seed=94" 0.00074460970508456 39.728
"seed=95" 0.000219515933406912 60.35
"seed=96" 0.000284025664131015 54.114
"seed=97" 0.0353704105557551 61.4
"seed=98" 0.0181858157126438 32.318
"seed=99" 0.0140746626728495 58.338
"seed=100" 0.00182945348994574 40.501
