"Inaccuracy" "Seconds"
"seed=1" 6.98085874276381 0.466
"seed=2" 1.27683543787852 0.433
"seed=3" 1.42099869517855 0.41
"seed=4" 45.4641753807047 0.433
"seed=5" 14.6019130496524 0.473
"seed=6" 2.75536925781767 0.416
"seed=7" 17.1358049838046 0.404
"seed=8" 4.22035212613981 0.44
"seed=9" 10.5989852842635 0.456
"seed=10" 4.86050693082545 0.421
"seed=11" 8.55238459789833 0.397
"seed=12" 6.62010750916791 0.42
"seed=13" 5.52130371873003 0.417
"seed=14" 15.0281184696925 0.424
"seed=15" 11.5112252993463 0.41
"seed=16" 2.29744902845088 0.454
"seed=17" 4.67765696988111 0.444
"seed=18" 20.2919410668634 0.444
"seed=19" 19.4453266840122 0.411
"seed=20" 6.02704869723635 0.411
"seed=21" 9.30321604140854 0.411
"seed=22" 5.49076448208478 0.433
"seed=23" 1.22819146926073 0.432
"seed=24" 15.380182647543 0.394
"seed=25" 1.88866989536418 0.471
"seed=26" 12.7363377830853 0.615
"seed=27" 16.4827474341856 0.392
"seed=28" 1.40562771848281 0.409
"seed=29" 4.47345008795644 0.389
"seed=30" 3.73405926898533 0.488
"seed=31" 4.1116134300788 0.411
"seed=32" 0.14049126776276 0.431
"seed=33" 0.131821737231894 0.423
"seed=34" 6.0948386328449 0.413
"seed=35" 7.26238987159373 0.427
"seed=36" 5.05435989554382 0.407
"seed=37" 18.4651184007149 0.451
"seed=38" 12.7066687608551 0.454
"seed=39" 7.03424385369174 0.426
"seed=40" 7.31223125901473 0.427
"seed=41" 6.75214542424775 0.521
"seed=42" 0.833246011297376 0.446
"seed=43" 10.3100811736919 0.431
"seed=44" 5.43702508585295 0.426
"seed=45" 3.99998348031516 0.432
"seed=46" 16.7216958066772 0.399
"seed=47" 6.96662079338092 0.413
"seed=48" 12.3034201121221 0.428
"seed=49" 12.8574214469409 0.391
"seed=50" 2.50028755273277 0.461
"seed=51" 2.28550233170538 0.415
"seed=52" 13.3912147201226 0.445
"seed=53" 3.50007553101008 0.42
"seed=54" 1.84042552415158 0.403
"seed=55" 6.08913846513254 0.413
"seed=56" 2.97703954554316 0.401
"seed=57" 0.00221007665577139 0.447
"seed=58" 2.58570920159472 0.398
"seed=59" 12.4292963131477 0.404
"seed=60" 0.989168865016046 0.448
"seed=61" 0.540235665872389 0.423
"seed=62" 13.6657237315601 0.4
"seed=63" 22.1067171124562 0.445
"seed=64" 2.31836568886447 0.426
"seed=65" 8.35719440670321 0.443
"seed=66" 16.2948755074563 0.459
"seed=67" 1.34140253986097 0.437
"seed=68" 2.07152471844245 0.433
"seed=69" 14.3365795564934 0.425
"seed=70" 1.91849949780365 0.406
"seed=71" 11.4317005751076 0.407
"seed=72" 8.94228152766846 0.571
"seed=73" 15.39487124846 0.426
"seed=74" 1.05145352358613 0.388
"seed=75" 0.675284438458007 0.432
"seed=76" 5.55067123633362 0.389
"seed=77" 2.45053943692335 0.397
"seed=78" 14.7613663791883 0.443
"seed=79" 7.11204411291236 0.398
"seed=80" 65.6198419958493 0.453
"seed=81" 21.5047693114756 0.393
"seed=82" 8.41054756954707 0.449
"seed=83" 7.07732433176259 0.387
"seed=84" 5.67040546827391 0.392
"seed=85" 11.5125393672789 0.426
"seed=86" 8.19226797771422 0.428
"seed=87" 11.514076506869 0.478
"seed=88" 4.49697615212909 0.428
"seed=89" 0.430201099930222 0.418
"seed=90" 3.23851512995338 0.607
"seed=91" 13.2300218721171 0.444
"seed=92" 29.768837007267 0.451
"seed=93" 5.90510214366018 0.395
"seed=94" 14.2921145313028 0.433
"seed=95" 13.5200387578695 0.412
"seed=96" 2.14199866740515 0.427
"seed=97" 15.5668908509719 0.415
"seed=98" 0.324264109929016 0.406
"seed=99" 10.0240285289584 0.407
"seed=100" 2.90979454127249 0.412
