"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.00390170649104686 0.00705418472353074 0.00253960805964818 0.000761487644716478 0.00114852916273538 0.00169056404102589 0.002194644519834 0.00205224746280389 0.00298398239646846
"trial2" 0.0016428985103374 0.000105672393565996 0.00112488390256411 0.00600103591455063 0.00411053912384029 0.00225933919919495 0.00280066196215025 0.0013701492607008 0.00452516997578142
"trial3" 0.000219051459939178 0.00132425120108689 0.000346851849387797 0.000626612598619078 0.000426518378771934 0.00118346315421168 0.000415333334794432 0.00154596794880117 0.0012672378015275
"trial4" 0.00112324430596252 0.00126863211839021 0.00394711379069238 0.00176869753631579 0.00186788739750491 0.000697953246917063 0.000241142171072517 0.000893625589343015 0.00139657206986552
"trial5" 0.000472603592839247 0.00120136978878695 0.00107458622603406 0.00124261789268737 0.00259590904843892 0.000671019872171142 0.00154651286820498 0.00385288259110347 0.0022015570152803
"trial6" 0.00131676624425205 0.0006078924730655 0.00207610016815873 0.0001957306540426 0.0028843038681925 0.000444152511184887 0.00116091064583407 0.00231527853051831 0.00448189995769083
"trial7" 0.00104374666978043 0.00267316752636746 0.00204732791951237 0.00214925695176359 0.0034623463451546 0.00174980826564183 0.000732170545022835 0.000864523637967793 0.00144216469139894
"trial8" 0.0016547990321917 0.00350864801082027 0.00306389705174098 0.000821355033851689 0.00118789772607373 0.00134462149121704 0.00136674699105646 0.00084379150298316 0.000761341973893564
"trial9" 0.00326849358043689 0.00105073928394759 0.000203879671354658 0.00142777852014164 0.00156367925460796 0.00273927094438855 0.00495595941309439 0.00138805806676156 0.00247081373771253
"trial10" 0.00133797323522857 0.00503597769839861 0.000722954883242173 0.00120974974171605 0.00062875092927192 0.00157323059954247 0.00226297103201373 0.00147733460631771 0.00562897903207115
"trial11" 0.00479974356258584 0.00166904026943238 0.000703755658644868 0.00233865947199778 0.000987134088556403 0.00115795933403957 0.00450396577860766 0.00124803113517247 0.000745767974852057
"trial12" 0.000260296432635588 0.000630455446454454 0.000875982042710949 0.00480224259534144 0.000736369702513878 0.00234235250828623 0.00372648388004611 0.00234810303585301 0.00220075699180422
"trial13" 0.000504389587612675 0.000920163095839145 0.000864023254621182 0.00304904079645962 0.00049934140423454 0.00215772597744454 0.00223436224685536 0.0119871886411101 0.00298648967683891
"trial14" 0.00320108286691535 0.00292252493707499 0.000447256995377045 0.000817508899643528 0.00122529252221322 0.00435724175684335 0.00249334311694085 0.00134921302968617 0.00593455840099602
