"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 0.0102698841035683 0.0480023833178867 0.134104672712508 0.0655282859945327 0.324323108936923 0.157913894938724 0.219025352389373 0.127585824440202 0.405294756102002
"trial2" 0.0128030943405692 0.0453533405281148 0.00151613675596942 0.0549208058544468 0.132312689323914 0.192969907031597 0.0666039866232282 0.267732335701647 0.140347860297687
"trial3" 0.0170535293776177 0.0135652008649789 0.22151953597893 0.0246316972007986 0.0222521613152414 0.323238999443029 0.395858398940161 0.28663578197306 0.310996096783667
"trial4" 0.0222502722506611 0.0744196120824338 0.014816201261632 0.00199105845208039 0.0397893377300324 0.0795562926043945 0.0179309193661418 0.368414797850864 0.168934919299468
"trial5" 0.123525363812515 0.022545350148227 0.0412611982012004 0.0420719530070219 0.095342628615405 0.0617223146396874 0.287882065850594 0.228020533118361 0.185063706399384
"trial6" 0.0845399944734666 0.0179441379307457 0.0474436362111338 0.0818198151958188 0.0941933497059499 0.1371379597577 0.273727974753394 0.171178644379371 0.211521619600586
"trial7" 0.00442131836793272 0.149539190759408 0.0379123194802825 0.0149491199305441 0.00885641165525781 0.0636471072116546 0.0847661583758134 0.0453210148194593 0.209910030554493
"trial8" 0.0171059633830724 0.0489963447854039 0.0283954034273391 0.0230889607016882 0.146582036202511 0.165915513745433 0.220308636346866 0.210783690564314 0.127352240501981
"trial9" 0.00893336509512743 0.0042141530983078 0.0990965414755537 0.0526737241554871 0.0167291844604997 0.0202662597780738 0.166920694036881 0.204069571963892 0.129945695329568
"trial10" 0.0224903481411238 0.289057206138427 0.0305633813635486 0.0168480114875655 0.0659374514857806 0.00308976556250615 0.157584885336017 0.182760044532388 0.240274236252195
"trial11" 0.00540322695495817 0.00892011771424959 0.0174677083181261 0.232854716138743 0.133600349481427 0.192896731886196 0.361811007880652 0.0444643898461893 0.0229144472057544
"trial12" 0.239123495639685 0.0691680240141251 0.0343219552438189 0.158844930717839 0.203197464080707 0.123076312218557 0.16271445579513 0.475128722491052 0.0760405474603359
"trial13" 0.000230796305018711 0.0669387529379666 0.000800394450286219 0.128036915685169 0.226313045500216 0.289168597559364 0.197359936525516 0.136568431983063 0.446378016034435
"trial14" 0.0344483662613198 0.0594700344368493 0.342900567563065 0.123999017827723 0.223559610692614 0.310368777305732 0.160696986738566 0.10359878936138 0.178865914409322
"trial15" 0.102920594950002 0.00773545956953756 0.00244331019147761 0.0882511923637006 0.0999221901306523 0.2564800659955 0.278044505892737 0.0591905542497164 0.221249958897415
