"m=2" "m=3" "m=4" "m=5" "m=6" "m=7" "m=8" "m=9" "m=10"
"trial1" 102.151383427632 101.362063020859 101.831755966195 101.430971907483 101.378193975932 101.323476706236 101.366819082884 101.539122281099 102.092193183307
"trial2" 100.445473115999 101.279000519563 100.965045167367 101.696759665587 101.434250804628 101.002910791636 100.801056678713 101.277750258987 101.511682275705
"trial3" 100.893643924275 100.673868379438 100.754597629873 101.014514488573 100.979093311247 101.394428810989 100.897902519318 101.193396421707 102.182155805939
"trial4" 101.138885358619 101.258653753094 101.759253333482 101.450324754267 101.371719137442 101.639155886772 101.116383462095 101.44944249563 101.532787769052
"trial5" 101.436613463533 101.623938745274 101.10680973196 101.662403593694 101.556695598128 101.65759432469 101.776875210638 101.326274694817 101.892584454325
"trial6" 101.649983288769 100.675050528951 101.039926006982 101.712739749644 101.585008217836 100.869215720498 101.342875190867 101.342926604445 100.966191420074
"trial7" 101.340960373519 102.255031784601 101.924784211916 102.08372465674 102.094859220858 101.02575688441 101.607422408973 101.831398469475 101.616768169519
"trial8" 100.957372699774 101.35263504756 101.466745423847 101.810047088234 101.441695286563 100.912119237638 100.712573757278 101.474796782019 102.394696878388
"trial9" 101.28471179063 101.367436690473 101.364391495769 101.485978342778 101.829626080202 101.616739501091 100.467605179857 100.546768135315 101.657246428612
"trial10" 100.880726901579 101.772641576657 100.822519029296 101.975628592312 101.696878635884 100.956655988895 100.885064436618 100.919967039547 100.884543053816
"trial11" 101.31648718752 101.078531351998 101.028811170439 100.77697707267 101.740000689856 101.352108769711 102.078967737501 101.563511665284 101.131002409448
"trial12" 101.311952050955 101.256529225774 101.728233372759 101.780747352922 101.645790790433 101.153595884941 100.981400290855 100.915182935537 102.160162440979
"trial13" 100.51652522326 101.2641854264 101.373315596092 101.123544792843 101.120519958172 101.886989995624 101.227141617905 101.14452543801 101.087991654409
"trial14" 101.782982982728 101.429475251676 101.115352525684 101.223372932822 101.839806459524 101.648344117864 101.227432433099 100.954491985859 101.535446769491
"trial15" 101.358997675321 101.50103973933 101.864475649789 101.871468911653 101.390574960024 101.58556049858 101.354806299051 101.576859311903 101.7300764433
"trial16" 101.23292078288 101.055966034877 101.051197520703 101.640722715761 101.078863778652 101.493019864434 101.464908834907 101.171755250865 101.667445070121
"trial17" 101.330497666864 101.173327738013 101.837958418525 101.800898902095 101.431808218597 101.583676801139 102.305375299459 101.182641242781 101.535592658944
"trial18" 101.839441421312 101.450290668407 101.225424021825 101.65956324251 101.484695980376 101.240189384508 101.435209713132 101.542000800556 100.840686366015
"trial19" 101.613239154637 100.863283961094 101.217267665431 101.249088743692 101.343511915293 101.307636311161 101.001753513695 101.061349242053 101.407380307114
"trial20" 100.486172555889 101.81872737155 101.453950817012 101.683532534003 101.483367196949 100.379842948917 100.889858456708 101.249259576989 100.331626097306
"trial21" 100.949439753983 101.165996025035 100.973677967958 101.820432902942 100.781885191803 101.195836033394 100.717637870439 101.229649421782 101.247560857966
"trial22" 100.798396684871 100.900632028228 101.196034110243 101.900040412418 101.082648405136 101.092532411443 101.516064345262 101.053610541056 100.803339813514
"trial23" 101.251361278104 101.018660173951 102.103640960077 101.899530262512 101.775445383121 100.925523817587 101.751469641862 102.051470996414 101.344869622606
"trial24" 101.177126410792 101.675939976536 101.504114591295 101.408941154753 101.511887010121 100.983981334991 101.515700671299 101.661657358083 101.835119099941
