"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" 55.9528514563277 347.496002088543 464.726174778868 521.602777141083 551.943971591625 570.025010616391 577.202186892911 579.115838682664 580.819266638443 581.128666272897 582.708799925511 583.730605275872 585.821519982712
"trial2" 51.8495111334934 348.071060482622 464.974494497584 521.167163003274 552.543166060146 568.342891331363 577.582575493346 580.690018284545 581.496638168904 582.26304575473 583.148976921502 584.057428963219 584.663653435037
"trial3" 51.6397650196136 348.480132996591 464.667305869229 521.87505128559 551.696198032892 568.441950705577 576.440504239138 579.352246439949 581.483354259213 583.718487587423 583.688244530759 584.804179108529 587.852241440675
"trial4" 55.7053970874114 347.669228813058 465.435260725299 521.486374230198 551.803116459512 570.553962857552 577.62315560584 580.104232391734 582.980905247237 583.31943482857 584.436748110463 585.465189166243 586.130949909548
"trial5" 54.5529831261888 346.909010540817 466.197182101375 521.455515609875 552.630541730222 569.064692553313 577.428565212096 579.948913198489 580.520214881765 582.311910653882 584.106067776724 587.045672038269 587.000188910304
"trial6" 55.5014370090737 347.549556282218 465.52744984159 521.605633013889 552.966455858696 568.817543418963 576.95821333627 580.782654436058 582.064808483176 584.010180277744 584.910392369154 586.231830693741 587.46435896808
"trial7" 53.0257730964842 347.537433602336 465.414386869779 522.329974429141 552.260247003229 569.554613951152 577.480420581645 580.903355956857 580.954668437232 582.052195278593 583.238641187235 587.045093251123 587.739641915194
"trial8" 54.9643632896368 348.476341245268 465.157198309656 521.387402886141 552.330763440721 569.490578592209 577.952309236814 581.52975234155 582.619912258995 584.199345651167 583.41168053317 585.88638385765 589.411000547929
"trial9" 55.3277470993556 347.047723233378 465.009181652586 522.013344454216 551.510361157735 569.301743850604 575.041721292552 579.138604601938 580.69537441104 581.561055922715 583.460942093689 583.37851645491 586.088737609747
"trial10" 55.0197983551602 347.702176504182 465.395701759871 521.337230637349 552.553024774759 569.350243518874 578.184703546766 579.962647689663 582.43405356471 583.691461514183 585.594661096517 586.484097220837 586.162781659647
"trial11" 55.5455546287631 347.656468789713 465.486601341505 521.883540738032 552.682691917659 568.785909172707 577.552570150019 580.196387816566 582.504715629392 582.621471730194 584.844050793007 585.287783137057 586.391303276517
"trial12" 53.6643294283043 348.521442978452 465.112259300363 521.848637027899 551.833796347135 568.620937030217 577.790891844942 579.956424985841 582.812917962591 583.060736564827 583.773678869685 584.633381880338 586.179171565281
"trial13" 50.0390358017064 347.547484705311 465.07442088702 520.154601376634 551.263935830337 569.556359379614 576.35177603348 580.10505459911 581.856335706691 583.068226522119 585.74094714529 587.790045977394 588.951390845686
"trial14" 54.9349781055586 347.290093926437 465.064476475352 521.547673309545 551.585139339807 568.752014200123 576.962953128893 580.083425952266 582.118067183045 582.709591026971 584.134217183924 586.546777285322 586.640854375449
"trial15" 52.626044072993 349.047973898422 464.837556906386 520.825754063886 551.512364535326 568.626818882178 576.459810014184 578.641034167859 582.210821087216 582.792096841703 584.008495213912 583.404363162601 586.560607111634
"trial16" 51.9637303800295 347.926381693205 464.485451049358 521.549825396863 552.389734703484 569.45382673412 575.445253440192 579.607845514083 580.796802835228 583.210391205161 583.641884137797 585.653218796259 587.922560021246
"trial17" 53.5818237671774 347.875404710572 465.209939479008 521.549838237238 553.071708342614 569.279845682371 576.082009349225 579.615493849807 582.326853145967 582.886883278576 583.093598078466 585.112706962983 584.464986596611
"trial18" 53.3740438532866 347.635935788729 465.245130819365 521.56395875052 551.548274105511 569.065823497408 576.520737614465 579.078899172043 580.687415149558 582.111934766587 584.804033156701 585.459621890947 586.653669743292
"trial19" 51.680876465576 347.965356058685 465.00688561757 521.706527453356 551.980715205256 568.855499127679 576.66792683575 580.533061791202 582.073309722505 583.559258576834 585.012081107491 585.552424317739 587.736527954418
"trial20" 51.5006879529578 346.432327346481 465.425887089247 521.184715474831 551.983233654371 568.326870061855 575.701617009558 580.440385782667 582.165780394088 583.79801235181 584.717984871489 585.093624789888 587.130033067843
"trial21" 51.912841000004 347.5857869949 465.354516437743 522.424523382669 551.752366328482 569.160382830776 576.763516146626 580.457455056702 582.009067956047 582.112331629103 583.336199635474 584.678744476811 586.403045014646
"trial22" 55.7736281130304 348.899923981041 465.699167085176 521.461295752511 552.220673476574 569.027299088359 576.676315029467 579.556650759742 581.949974663268 583.979072474342 583.637316777446 586.466196191498 585.984970037879
"trial23" 56.0776648269765 346.848734750041 465.124052890255 521.47053998306 552.15814679258 568.729535853591 576.068888780496 579.646208642626 579.75089230939 583.629472117166 584.657096272893 584.91923645416 585.424276639011
"trial24" 56.3275288895722 348.105829596359 465.366066243623 521.65378816971 551.911427935756 569.206086233983 576.905339463872 579.97760147463 580.930454805384 583.009969756373 584.187907261073 585.042847760241 586.076994827787
"trial25" 54.4533132936649 348.559680108464 465.062442894907 521.346661757153 552.106636790685 568.728637165952 578.282972948313 580.555721801852 582.108307828402 583.499761488916 584.56120363534 586.7262684033 587.177618126183
"trial26" 57.4372363248624 347.529507616489 465.720504341585 520.925069498348 551.846326279859 568.755442333136 577.053378202412 581.170546479882 581.673857022686 581.56877483778 584.535583799993 586.189378200746 586.577352818001
"trial27" 54.2156382418803 347.968696090523 465.19640953926 521.556517171795 551.392772567855 568.906903711365 576.68125412099 580.137619743172 581.894964852051 584.216324152203 584.613550059569 585.617192282922 584.390705838611
"trial28" 54.2946481026804 347.179923360748 464.979816693077 521.520183053267 552.448204033151 569.118456514316 577.303637328072 579.956722575767 581.600617890158 582.897504866713 583.660866623775 585.225994851158 586.287049074107
"trial29" 55.4400019345777 347.991938914123 466.59697029693 523.016405463764 552.382764691715 569.799826711925 577.85153951463 580.915157137572 582.53559885903 583.819936157475 585.4617487422 585.522414077499 586.991440135599
"trial30" 56.5485063152379 349.681533922824 465.180468233304 521.952872046982 552.798125885409 568.88049509755 577.924812814074 580.165793816103 581.939525452259 582.056369517399 584.84725230174 585.793220542291 587.433214699362
"trial31" 52.9793388496837 347.827721994289 464.345037134381 520.383969865751 551.588646853604 568.056521212052 576.756510258207 580.199643232876 579.835077081239 582.749800252536 580.746729923536 581.361237528817 587.07833642283
"trial32" 54.7854017791535 348.621642807594 464.042825920654 521.70579453439 552.807826134264 569.018956770909 576.234341634616 579.020939627213 580.727421076775 581.655605466728 584.757569138843 585.572026376442 588.226753341334
"trial33" 52.8105753853547 348.25846769887 465.478524090434 521.422995290798 552.595345366648 569.573170125018 576.770618947746 579.832902371675 581.78787787579 583.380566769451 584.900432339712 585.965977346605 587.742600780395
"trial34" 51.9554167004783 346.761963032764 464.606849347784 521.893475389654 551.753484578583 568.478344750091 575.324558517164 578.798100310026 579.787209320183 582.925004333379 583.361711904292 584.404014964841 584.187133003206
"trial35" 54.6367124591639 346.453499887414 463.922062798887 521.583861861164 552.721269561582 568.287638962951 577.240033934659 579.102508708521 579.713079864165 581.874927847585 582.741807092593 584.91197207183 586.675207816811
"trial36" 54.3968824959205 348.641568745352 465.119180511489 521.499375025909 552.639849860331 569.935329688073 575.942550404758 579.836233068357 581.593884958258 583.327680968067 584.597503505993 586.500471335749 587.558658962886
"trial37" 52.7324831922548 348.05988499017 464.77505444419 520.912327757944 551.170255559203 569.053703123779 577.374246033284 578.559667078269 580.418438374453 582.728995245018 583.936282595165 583.264806598195 586.446030472129
"trial38" 57.0738352653331 348.509654058304 465.871871671488 521.566523463808 552.332556476318 569.852039898443 577.17984150825 580.506373658716 582.886036140281 582.982399873314 585.045871140994 585.910795962122 589.136350774563
"trial39" 52.5942275759067 348.116690946601 465.098345852185 519.997061943757 552.129947953701 568.447540882892 575.954061124238 579.846788122859 580.862526204527 583.527778493134 582.701058119156 584.56379602619 587.238993226578
