"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial26" -26.8762183773293 -25.13723081752 -25.0763375427297 -24.9368173459707 -24.9316783152394 -24.6158695705857 -24.3666780337525 -24.0710002922253 -23.8248658441542 -23.7586151427854 -23.6456425612369 -23.6621572508756 -23.7009005656298
"trial27" -26.8728713706189 -25.1083647856964 -25.1360086163424 -25.0462532873183 -24.9083389537335 -24.6370596546563 -24.3256083449202 -24.0746087645555 -23.9279293558365 -23.762827460017 -23.7625753817113 -23.6588946574531 -23.65997723623
"trial28" -26.8625262126637 -25.1879899971948 -25.1622078192231 -25.0253652879773 -24.8842504230323 -24.6517444226727 -24.4152973263824 -24.0935990568452 -23.7767315876156 -23.7583286402202 -23.7257481877358 -23.6260640301787 -23.612867674052
"trial29" -26.8827111398762 -25.2022629461816 -25.1501780321728 -25.0145245327525 -24.8946899242004 -24.6772080513141 -24.3206851036093 -24.1451670432694 -24.0533384725973 -23.744441460456 -23.65820927843 -23.6047527859791 -23.5198834224849
"trial30" -26.8202838462706 -25.1993587916072 -25.1230072754451 -25.0434320484672 -24.8746743997522 -24.6389775155337 -24.2750980973256 -24.0809877602854 -23.9211194340408 -23.7138136146929 -23.6973108321025 -23.6325013899231 -23.6054018560137
"trial31" -26.8631176926396 -25.2511945857282 -25.0917198957488 -25.0191774939842 -24.7803173764974 -24.5751566678112 -24.3797969579567 -24.0544465936179 -23.8188549203412 -23.7368981230564 -23.691542368419 -23.5271719160856 -0.194772807740274
"trial32" -26.9210162864985 -25.2318547937369 -25.1583676132111 -25.1133234198756 -24.9636754472223 -24.7070508485821 -24.2878504265279 -24.0149810367885 -23.868330638943 -23.6759230855078 -23.6662062179952 -23.5207374708304 -23.4499249486706
"trial33" -26.8783451597126 -25.1133598025585 -25.1557355066537 -25.022131870988 -24.9094872007958 -24.6764083682231 -24.3789992859896 -24.0861255244055 -23.9421985505527 -23.6796558891081 -23.648973167409 -23.476763689199 -23.5096210139766
"trial34" -26.8623209541008 -25.1271489141382 -25.0878478699186 -25.1040295055794 -24.9540612646425 -24.7538896540069 -24.4190602791112 -24.1087032932957 -23.9212578221129 -23.84183300807 -23.7338619664117 -23.6169407548882 -23.7061736079667
"trial35" -26.8152691330843 -25.1377470661738 -25.1537362504044 -25.1355879606823 -24.9626998606301 -24.5846439445911 -24.3424858611961 -24.1566099522019 -23.9567397989106 -23.8425407788969 -23.6761875383266 -23.6261518711046 -23.5821090377886
"trial36" -26.9351166172506 -25.20686051467 -25.0700286467288 -25.0399689584808 -24.8336308416091 -24.5931766740321 -24.3313314643311 -24.1093285231406 -0.113144531385751 -23.7374204863278 -23.6299660598999 -23.6197983755089 -23.6434851641971
"trial37" -26.9362214591568 -25.2025764672961 -25.048918789738 -25.0136190443738 -24.7382432865385 -24.6007579411672 -24.2506839729324 -24.0098748078354 -23.8497008896011 -23.7853116786977 -23.6384181223042 -23.7930864896159 -23.716864745039
"trial38" -26.9126583911741 -25.1879904121371 -25.1565076957434 -24.9501290057862 -24.9036639683674 -24.6689315451188 -24.2858238094207 -23.9866081679196 -23.7918072804294 -23.7332515126264 -23.6032738927669 -23.6432263869055 -23.5539434257831
"trial39" -26.8539652981181 -25.1824649812579 -25.1870158026904 -25.0658076938514 -24.9345907526585 -24.6872491978961 -24.4508007890146 -24.1020746978325 -23.9071550743868 -23.6926004928598 -23.7744634101626 -23.462723389249 -23.5327123524328
"trial40" -26.8145627633112 -25.1806966063513 -25.1403004009685 -25.1348586932212 -24.903988074837 -24.5781119336513 -24.3036146621936 -24.0963271611775 -23.8450032009785 -23.6981306366814 -23.5744806912534 -23.5356898372186 -23.5581393057292
"trial41" -26.8817912251276 -25.1966502445908 -25.116564171173 -25.018096769817 -24.8949889830295 -24.6857526221521 -24.3123674176692 -24.0794137109831 -23.7619563587456 -23.6867015601985 -23.6171687246276 -23.5849593898623 -23.5783246614574
"trial42" -26.8569548064277 -25.0503813970849 -25.1121328790642 -24.9398805006782 -24.809462955799 -24.5456829747607 -24.3162893080316 -24.0122088822503 -23.8235006092379 -23.7958441278849 -23.8230271659639 -23.5986740885429 -23.5906686352135
"trial43" -26.9090679044766 -25.2075298782762 -25.1490089294372 -25.08983216002 -24.9169611363286 -24.7056511569417 -24.3812759760303 -24.1978372346989 -23.9088384169813 -23.6512363815432 -23.4758236912236 -23.5915198170537 -23.5770360783422
"trial44" -26.9112633854316 -25.263248340929 -25.1060054210679 -24.9699976965682 -24.8576226673097 -24.7230952801 -24.4009142460061 -23.9741523615142 -23.9890648706019 -23.8974424953141 -23.7794203869116 -23.6351441282626 -23.5595706138196
"trial45" -26.8338353560413 -25.2156970305055 -25.1286015663702 -25.0196050741975 -24.8343819861607 -24.7899025288275 -24.3838588193015 -24.1228138789306 -23.8967086672789 -23.6798024790071 -23.6167681243288 -23.5587623225967 -23.5440919866406
"trial46" -26.8945261278705 -25.2039139985276 -25.0950991867849 -24.9822933007027 -24.8394624745302 -24.6458034683326 -24.2518957623116 -24.0457684618152 -23.8976162887489 -23.6957892582668 -23.6069442060481 -23.5659734453011 -23.3894100664666
"trial47" -26.9316747715088 -25.1842185685676 -25.123854969138 -25.0170807494201 -24.8390788406366 -24.5530005941423 -24.3262627591096 -24.1256363979869 -24.0329288410445 -23.7792200447566 -23.871040257165 -23.6157634422077 -23.5874585508825
"trial48" -26.865172374082 -25.1730208400625 -25.1058376450077 -24.9771485376767 -24.8058775680845 -24.6277753545144 -24.3005340159154 -24.0391113055115 -23.8635387442582 -23.697627125447 -23.5936892989706 -23.5721212167403 -23.6953359298846
"trial49" -26.9515722744857 -25.2076636190279 -25.0704838523828 -24.9899992109332 -24.8317368094001 -24.6283506450765 -24.2781973539855 -24.1191776114118 -23.8837426647595 -23.7429347853522 -23.6545152952924 -23.696548521699 -23.7713556926887
"trial50" -26.9682393448411 -25.1693902077145 -25.1370141966093 -25.0528709199939 -24.8011311491603 -24.6564793377413 -24.3078398351555 -24.1207181149881 -23.7862466987088 -23.8044356316671 -23.7091954911976 -23.5621159265229 -23.581652337546
