"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" 4670.18333485743 6093.95845007108 6484.36850243155 6681.62626539528 6812.54130071903 6903.44464697057 6970.50792958182 7014.19447464745 7040.96022978184 7061.29320502719 7074.82271766678 7086.31821099274 7090.11895860602
"trial2" 4673.33383166814 6099.03710379337 6489.15050694049 6686.54599043488 6818.79506039826 6900.98205789918 6966.87786629198 7009.34795874121 7040.03026528403 7060.38836734598 7073.82170466171 7082.54598375314 7091.6818928985
"trial3" 4659.27530895011 6101.78279379264 6488.73175191489 6686.88167831219 6814.75785743092 6907.5464292356 6972.25559920399 7010.65023256827 7042.19242500703 6412.73262094106 7078.11389102625 7085.42809194672 7091.01473256341
"trial4" 4677.51357285978 6099.22906657629 6482.52209565923 6690.26795161591 6817.43569111785 6901.27096742752 6966.88926608004 10508.4694817562 7039.58130449543 7057.10330317964 7073.65404355758 7084.02672506113 7091.01164784533
"trial5" 4673.36791874048 6091.8833194073 6488.00431612299 6688.16679904339 6814.55861519047 6904.87430604852 6962.5814232447 7010.35448190093 7037.86089764825 7055.37786241762 10876.45771352 7082.70478265857 7090.60022250819
"trial6" 4668.54333787003 6096.61493474327 6481.22119999656 6687.70239414377 6815.14492183427 6903.88890832717 6966.6412012214 -2868.40612418258 7040.04582773598 7059.95949905436 7073.94130668518 7085.06508993431 34756.5666967776
"trial7" 4664.43822645026 6086.29085168367 6490.11522375038 6692.08782265854 6817.81033121179 6903.37478548929 6969.28489205718 7013.73912638151 7039.32745843833 7058.69074949342 7070.33380459923 7082.79834390068 7092.10147619329
"trial8" 4670.65439968722 6104.64019237171 6496.33175706014 6695.10420550692 6818.95602540871 6905.00410797635 6965.21406714839 7010.93484235443 7038.93507616282 7061.4839187107 11615.8419746707 7085.2631210921 7090.03196381782
"trial9" 4672.1591712994 6095.36957661854 6488.99478756706 6689.92989725224 6815.20932680239 6904.19780820762 6962.32210077947 7011.62745505697 7037.49920874031 7056.69700709588 7072.90157794083 7082.93495655774 7093.01999285062
"trial10" 4672.92460936413 6101.35173701839 6493.27210521422 6692.61777185925 6820.34164807461 6906.20867717855 6973.01006901933 7017.12191443788 7042.17559937613 7060.99034769446 7075.24532804299 7084.2277399851 7093.3084479524
"trial11" 4675.58677993265 6091.38002549949 6489.29086221324 6686.22848785107 6818.54570155271 6902.41062748697 6968.37037269746 9297.56088073915 7043.53404368926 7059.38017665783 7073.72530386954 7082.92268973878 5877.49394542961
"trial12" 4654.61130609838 6092.32130107588 6487.82570564435 6693.3985661882 6821.93082710555 6908.15629106917 46264.6849781516 7014.29119256587 7039.26334215033 7059.64118753832 7074.21340857164 7085.82261074391 7090.85378038195
"trial13" 4665.55789249143 6085.95888620285 6490.01871739443 6694.29169072946 6816.41620976315 6907.05275142348 6967.6292764563 7012.81725149722 7041.99340742948 7060.95965008319 7073.79571711969 5462.74551079021 29230.3906071252
"trial14" 4670.74832719259 6099.96779912329 6489.92991115951 6691.40839206508 6815.95038266445 6904.30026278655 6966.20254623672 7009.19823882496 7042.42454005251 7063.15953676693 7072.97122047099 7082.30821953829 17107.2667766932
"trial15" 4663.81321319072 6097.58056559247 6496.81149979167 6692.15825907394 6819.89932342484 6903.27709665367 6967.15287502701 7014.11780510936 7041.2879325986 7058.70268340523 7072.94007526404 7080.89294164696 7092.17865812985
"trial16" 4662.97443240286 6096.27515092813 6481.45879625484 6688.94987437734 6816.65873913252 6902.49616730074 6970.2887844782 7008.61898657767 7039.95011381998 7057.17226413195 7072.5621609287 7084.99432162722 7089.99120836306
"trial17" 4668.12041366268 6095.06624532567 6486.73672306797 6690.76426065448 6817.5154300911 6906.51684692008 6969.05098304653 7014.16731948415 7044.22568684829 7060.16785402936 7072.58635102551 7084.90625117926 7092.23254437733
"trial18" 4685.20771330191 6095.2387096557 6490.73167919353 6690.99633763754 6814.26028772303 6902.49664280028 6964.25395768337 7009.55313552479 7041.29913715472 7060.58560599406 6654.85088301051 7082.63178522819 7087.57468611754
"trial19" 4665.81025182477 6091.60912149342 6488.07916357497 6692.50871032934 6815.21811032064 6902.70171135669 6968.30909139512 7008.86518911591 7039.16643371815 7061.88371161234 7073.49674641481 3617.29164976222 7090.37773841964
"trial20" 4675.93865015598 6093.41598889431 6485.22989505686 6688.89815900266 6819.00188776984 6903.05939954317 6965.37821649749 7011.70833378222 7041.02072551576 7057.7122682599 7072.73936985647 7084.49833263936 7091.6987627703
