"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" 49.8271809366934 378.40306853037 505.768359986712 567.291426666863 602.48983231702 620.844780384475 632.231112913351 633.774219218028 635.741951358414 636.226135215203 639.156009385528 639.711850752821 643.720307244102
"trial2" 53.1683823865527 380.500802591482 506.433220140121 565.339685275067 599.809922618634 620.478987978237 630.858868741013 635.344095517299 635.415740360231 641.147064950139 637.837733128514 636.142187001337 639.224730810888
"trial3" 50.0988153585073 380.429755645014 505.46762650186 567.632385201888 601.853159538903 621.028131910847 631.07117193223 636.181460851708 636.046307335463 -4.49997878270585 640.538856975623 638.553659140229 643.647727890203
"trial4" 57.569475545511 379.982963071042 504.120073470148 566.799157318317 600.802752899378 620.913100874381 632.500269727749 14.1034635996508 636.891665983438 636.544331073144 637.42397975844 643.144855926731 641.619402231524
"trial5" 55.7282131363656 379.495395096751 507.572196835068 568.995278021206 602.437114477884 622.318541471252 631.355708511621 637.191717815642 638.912240877832 642.893146126172 10.8177731566982 638.074421246237 638.841645644425
"trial6" 50.6157410879573 380.111445209556 505.74233944492 567.581171738953 599.381704861605 621.960063986957 631.285881204865 12.3870830990842 636.337729481557 636.417556388278 640.001433211183 641.186377938792 6.00232971081808
"trial7" 51.2315529761382 378.821659570773 507.056243682564 569.55433455897 599.713392008073 621.901512082652 631.237994655976 633.624043849464 638.743153095066 638.989617765635 640.482629904172 640.113991257246 640.844164425782
"trial8" 57.7342347481848 380.414787412861 508.494277728393 569.34991354092 602.738710703407 620.625803844318 633.458634409682 638.418048337608 638.128688808692 639.311014604687 -15.981230068047 645.683492483332 640.48354300964
"trial9" 56.8246870632354 380.536013685242 507.436284177602 567.564509726482 600.014876778048 622.408247426328 630.772913466021 633.242018754823 637.952612650285 640.575625900999 636.808968812011 639.375324106396 642.942783329999
"trial10" 55.0872809910762 383.352731169855 507.859073256832 569.027187035825 602.428567572493 621.186438888923 633.002717353156 635.603704849918 639.707207399431 639.261536761238 641.039993654794 639.941804643605 640.538017173475
"trial11" 54.9390896396421 378.44681824742 507.09428455612 565.463978718657 601.874182778876 619.722865075385 630.923633316148 16.695096125392 636.979002972499 634.615983546648 640.134632662923 638.54456561183 -6.11335007375424
"trial12" 50.1704569610696 378.856595158506 508.157532739178 567.655802391539 600.442522279085 620.934991778839 145.395252391762 634.361374031665 637.840572066261 635.890052802531 639.657710679901 642.871637895377 642.261295402306
"trial13" 50.8512639355607 378.587973211179 507.747815942081 568.015416126983 602.485731374791 621.901336128117 633.347539602195 637.047929516556 639.088394679986 641.863227407673 637.217336269581 2.46537589938632 -5.03796714720883
"trial14" 54.9444060081366 380.110381143866 508.283846111536 568.471183487238 602.842755127968 621.846227404324 629.612267769652 633.454828486327 637.839968247634 638.369150134873 640.414850025529 640.187640906452 -0.132667491447979
"trial15" 52.1297385555167 380.264302435603 508.193256226371 568.153485543251 601.905284657381 621.913545751665 631.098238961675 634.880619667691 637.914351166033 641.738606177621 642.431288576664 639.209545998437 644.708966141257
"trial16" 52.3519537354133 381.411742528013 505.890409075906 566.477630889135 602.096203806635 621.741507423847 631.933508783366 637.896141401986 639.292426676631 639.389938378313 640.84827825803 642.121420903795 643.042591734381
"trial17" 53.2527523110686 379.64607973074 506.420475547562 569.111157393775 601.291624100152 621.299805519562 631.945127133849 634.928677187329 638.127717743924 637.535170225162 638.160877722767 642.046122719949 643.115557075899
"trial18" 59.8478158177548 378.849361757409 506.705242856984 567.350874311498 599.28932713214 619.170027819979 629.552749615099 636.052647016565 638.548117171702 637.016467209599 8.38519559057576 639.166949101022 641.040739293956
"trial19" 51.9151829314779 378.406391786112 505.359617669784 567.528365159979 599.368385784338 621.698444759367 630.494066023039 634.415036804258 635.405995096936 635.391177675382 638.872673736369 -3.00927587744219 641.033244481723
"trial20" 56.9838980657578 378.052459096032 504.748602811685 566.846773604233 600.345294293514 620.422969481873 629.855321633262 632.200201611128 634.005468675109 635.364405988384 636.576947451311 639.643161853205 635.88755583463
"trial21" 54.0957899892012 378.875549933775 507.95368974167 569.176965368529 600.773182043 621.84538184962 631.76391547412 636.728619523623 636.293432238167 -11.1074418647475 -4.17604746948015 640.707679679026 639.7755288626
"trial22" 53.5380967301143 379.010570434024 506.991910378244 566.572040043302 601.390684974236 619.285174314704 631.473591501494 635.736640283251 636.579258760666 638.932362284652 640.504113744182 640.450692468548 641.570658484981
"trial23" 52.6249632566654 380.787571723809 505.178978643527 568.357875566077 601.585417270848 620.909727190258 631.488335307526 635.82627525703 636.106737826158 -0.523131321851843 638.91395767267 638.865122407668 639.381615067607
"trial24" 52.0236796536542 381.990701165084 507.096712963124 568.096468144628 602.552474738099 621.953218361793 632.33619956315 635.539099833143 635.908525833313 640.10476256056 642.063591181005 643.791419248605 642.843941264518
"trial25" 50.7524011979087 380.374789693296 504.07039679879 566.140632979497 601.11476530774 618.012554192859 630.234236811912 633.02759965785 637.019398827143 638.374759833286 634.92547109835 639.14297190876 639.834869858234
"trial26" 55.6629100029486 382.388806970418 506.629106007524 566.208943719979 600.980789600668 622.393971909739 632.426461115295 636.310408203869 634.982409687084 641.310471918905 639.674344948856 638.693355107433 643.406817813683
"trial27" 55.4174084360619 379.406736717206 505.01100749615 566.317592610735 601.347264661921 622.208661713054 631.896815424778 636.115805778774 635.504789739655 634.517280500263 636.395368425787 634.428787019802 636.808015575333
"trial28" 51.5682895559978 379.802631320391 507.643780223578 567.987339108842 602.546835306532 621.881486976163 632.347235135282 638.464686938632 638.096599746129 637.641985381496 637.669579528213 641.93982312568 641.882352205626
"trial29" 52.823352868693 379.214914367741 507.348276148081 567.230955858127 602.126692509588 621.048515477137 630.935216957386 634.988907345291 636.219355827784 -2.58239307737463 641.491548748562 643.398826883639 641.033362932791
"trial30" 48.7436927566659 382.823381599049 507.533265852621 566.710079245933 603.680177183466 623.212044016904 629.950590526651 634.862502125641 638.996612290756 639.408694082863 640.180099802861 644.252960557432 643.033199201678
"trial31" 56.9213682894159 379.778189848854 505.890164729602 568.038114386396 600.752303914927 621.491802863251 629.637430212825 635.935192399236 637.10256034677 639.023341466986 642.208442061394 643.304620214869 639.074705752502
"trial32" 56.5521457280368 380.358915561994 505.828596883684 568.614245127574 601.216279891242 620.543064923232 632.63295683738 636.417758586203 638.866974089519 637.146565758807 637.844651080142 639.097078300798 638.101638010526
"trial33" 55.557852550648 378.199578550841 508.001998874758 567.187892109698 601.835471708381 621.888474001095 633.056946695807 636.64699296677 636.569671956208 636.566246765176 638.214123490841 639.064289613225 642.532473088069
"trial34" 51.4862298301635 378.847489123336 507.660823339465 567.610274704499 601.865592910567 621.149243339793 631.08399241107 633.376227426036 637.21401232479 637.31600241333 637.251912718606 641.800400185517 40.2454025366514
"trial35" 62.3196671367791 382.464164783 506.758316031841 566.276365366627 602.904264692672 622.317928697281 632.637765532578 638.513299428948 636.438763727485 637.666305914988 639.812430510682 -19.8968315842405 646.691072169
"trial36" 52.0029654099035 376.369621750687 507.301661157061 567.481741885199 600.941299977487 622.85398643516 628.180726183763 635.963220733043 635.946275027707 639.648207767453 639.084860014549 637.99851221007 636.763461875702
"trial37" 55.7724996003325 377.883053057978 505.107137143673 566.059080993266 600.699834843426 622.348581668265 630.789155654579 636.659133565751 637.59288577062 8.46503757128579 -7.48217278777617 640.76803320356 642.136562405989
"trial38" 53.7363418197825 378.505916155023 507.816717951632 567.234842339065 602.60185071903 621.758138826117 633.899008698614 635.507975545939 638.157851790224 640.497778065155 641.74542079533 639.582985125758 637.525351993086
"trial39" 55.5771609867606 377.701578480911 503.863842906017 566.858149415312 602.435266412877 618.844415011239 631.799271296769 631.343323426417 634.860990210404 635.060305593424 636.830985770803 636.021699110749 639.638920852494
"trial40" 51.4476665529348 378.003319723988 505.489956176718 565.849089436105 601.167788469281 619.971391824454 631.021948128335 633.704000360289 633.685641851141 635.37107032972 638.646772609027 640.354904566658 638.352756385943
"trial41" 51.0801795353497 382.511145623243 506.943973059512 565.876008812019 600.536714055435 620.813027284932 631.762078913989 636.013275227899 638.55810324515 639.008088229958 639.735691412054 642.113812923442 640.268511436875
"trial42" 54.3995783882195 379.018034835332 504.989930163639 565.742314820102 601.051137295079 620.253099675032 629.503404689351 634.107250004502 631.526414607237 633.82059571693 637.702157951436 638.033657614882 642.51879350824
"trial43" 50.5281442005038 382.191674601675 506.017193251761 568.672970681481 600.159726510318 619.111355102227 629.255491802178 635.608596119324 638.139663385074 638.99378191745 636.084415448173 640.071669731041 640.010588707573
"trial44" 55.7793488443108 379.056635167092 506.24812498944 566.130320712577 602.421407892004 620.328589992802 631.788850641275 638.16336198878 634.7827250772 4.41587900024147 638.261192950969 -8.23085535664445 639.557361357872
"trial45" 56.2391604525347 380.163634561014 505.326593670675 569.164216037004 600.968369067128 622.147437964585 631.79003627114 634.748735692734 635.395724400596 636.49281774157 636.625137860223 640.268299255351 642.031551226603
"trial46" 51.6921276552698 381.053254385323 507.32720454056 567.890129470616 602.107954305733 622.011007234612 631.920243166677 634.63357547961 636.87877595221 632.959417811462 637.303258116646 638.724270879071 643.659067303713
"trial47" 56.5686214846132 379.948451024119 504.327505028572 566.049771059448 601.248838834768 620.551135557533 630.675668465729 634.525180760382 635.307583943557 636.652669550748 639.381761779473 637.235935396323 639.599225643215
"trial48" 53.8052377482115 377.453410332998 507.496737602525 566.770754430554 602.828880371404 622.138616487937 631.020389223072 633.574031826128 639.049990512769 638.831493596995 641.045205152126 636.792606301595 638.235075759885
"trial49" 52.5105021747353 381.98031172633 506.888130632244 567.686666543698 602.314018700657 621.366790588614 630.185665764714 635.168814613487 637.485706774439 639.591448188135 638.711876173507 642.088122880787 634.938934604337
"trial50" 50.9348076892087 378.368460326057 505.619517654451 569.396797484211 602.673037763142 620.812073254741 631.858317273685 7.87609671392899 637.192529063192 -4.50952453317514 639.601162353219 638.379992370013 7.31237728509891
