"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" -25.7714350169628 -24.128145949759 -24.1271576575874 -24.068447591151 -23.8403845042525 -23.7054501329947 -23.359711919315 -22.9915133483866 -22.7797061062693 -22.509436472183 -22.4189499500463 -22.2794152403786 -22.271105441674
"trial2" -25.8331274825505 -24.1771283623603 -24.1288946236063 -24.0316717615856 -23.9611857925034 -23.6866934134709 -23.3980974069746 -23.0442969450713 -22.7976498909348 -22.5577900986628 -22.445092832562 -22.3468748599291 -22.2642382180881
"trial3" -25.8259061622507 -24.1057226286746 -24.106233634281 -24.0078842378999 -23.8609198776218 -23.6042222809542 -23.3460434987504 -23.0090885897755 -22.776777540708 -22.6175331278762 -22.4386363117533 -22.3528515772575 -22.3645341047342
"trial4" -25.7291754578478 -24.1355376294255 -24.0719256925575 -23.9980882527132 -23.8203623238238 -23.7614591385606 -23.4122993654302 -23.0430099936719 -22.8510258062421 -22.6489449227326 -22.4986862077211 -22.39654078332 -22.3543873678993
"trial5" -25.7831432283938 -24.1404604015029 -24.0651364286269 -23.9562515036642 -23.8395949076724 -23.6153491268689 -23.3291356736107 -23.0049848869822 -22.7062533448463 -22.5344618729158 -22.4665091430663 -22.4258583315165 -22.3616817261788
"trial6" -25.7644639650645 -24.1265407828869 -24.0760476773801 -24.0365715108652 -23.8718142919885 -23.6325782026312 -23.3492772673557 -23.0854144387336 -22.7793629673643 -22.6236057710542 -22.4734939672148 -22.4202241671182 -22.3588645836806
"trial7" -25.787139774691 -24.1040413274618 -24.092918537713 -24.0059989725117 -23.8540505438201 -23.6432333861897 -23.3563819825605 -23.0578666035982 -22.6985406051524 -22.5480648125503 -22.3995625110265 -22.435426013089 -22.3535244164797
"trial8" -25.7625310948684 -24.1627072938103 -24.1257938261326 -23.9711741562555 -23.8344380966147 -23.6753029953872 -23.3810925993191 -23.0923872855349 -22.8151047343072 -22.6593170534073 -22.4403759723073 -22.4317234977794 -22.4667206398236
"trial9" -25.7716270056842 -24.1495818388421 -24.0729204212199 -24.0170953621073 -23.8552198538181 -23.6545121104381 -23.2662146127107 -23.0011448075626 -22.7076882875216 -22.5723222424072 -22.4342825163796 -22.2833648858114 -22.3077540604111
"trial10" -25.7903827250533 -24.1886322093455 -24.1155751283653 -24.005543923175 -23.8894310501291 -23.6696141710066 -23.3867897684958 -23.0136775369307 -22.8081795670694 -22.6515698123549 -22.5473825510293 -22.4946017034803 -22.3057893005902
"trial11" -25.740784155711 -24.1773581094925 -24.0714740929768 -24.0270774681023 -23.896044663185 -23.664824375762 -23.3902591908431 -23.050095509117 -22.8199734904735 -22.5865508862933 -22.4927358597084 -22.3940516973557 -22.2999509136211
"trial12" -25.7809125211266 -24.1500857914302 -24.1223817028829 -23.9612713234429 -23.862071265989 -23.6753427347557 -23.3838803809122 -23.0090779867077 -22.8380201089903 -22.6163748889341 -22.4672778476474 -22.3561544907848 -22.3055882630185
"trial13" -25.8145524870068 -24.0872093005908 -24.0393660034792 -23.9282278497846 -23.8349725668967 -23.6274989399404 -23.2980459090987 -23.0021743120651 -22.7697249653766 -22.6161914667027 -22.5169580448096 -22.427804720506 -22.383152900347
"trial14" -25.7767739004017 -24.1637402907857 -24.1411144760049 -23.9985823538851 -23.8354561478233 -23.6267616793968 -23.3148656202746 -23.0045811924541 -22.8086063973688 -22.5709562313836 -22.4382946950464 -22.4501493650755 -22.3305610452662
"trial15" -25.8012254139478 -24.1447350915353 -24.1111722303565 -23.9800056321164 -23.8427752091941 -23.5975709983324 -23.3460721353603 -22.9588567124394 -22.7711100359247 -22.6151846500489 -22.4756633263646 -22.3027539294422 -22.2963608593364
"trial16" -25.8041243174341 -24.1513023013632 -24.1114458488911 -23.9947836959583 -23.872283917406 -23.699308773063 -23.2858740917523 -22.9793113199911 -22.7190640113074 -22.5767646531181 -22.3987529251811 -22.3988257956584 -22.3916489610155
"trial17" -25.7680129726313 -24.1751548242962 -24.0871014970899 -24.0409410856818 -23.8828164026604 -23.6602286571561 -23.2888447352832 -22.9776465844534 -22.8136827721748 -22.5688292352397 -22.4227258668329 -22.3691815058453 -22.2951990918122
"trial18" -25.7543748007512 -24.1796225477331 -24.1026718479823 -24.018182806186 -23.8663657449141 -23.6445740863597 -23.3441587816372 -22.9951778324651 -22.7511356877461 -22.5547129742751 -22.4831264914709 -22.3970326620402 -22.3389433042124
"trial19" -25.7908116722075 -24.1003124126392 -24.033044178881 -24.0151528485834 -23.8444312006127 -23.6338345909993 -23.365106785417 -23.0655719369233 -22.8319743026123 -22.65010029087 -22.4745898887669 -22.3825305098917 -22.3946020223058
"trial20" -25.8265205537705 -24.1351221042791 -24.0428414874088 -23.9767374391829 -23.8175302746785 -23.6235373551983 -23.3230370258964 -23.08158480353 -22.793920293791 -22.613023600458 -22.4468279449385 -22.3689581334447 -22.3725252802206
"trial21" -25.8363123327597 -24.1607300895049 -24.073040915387 -24.0168056598794 -23.7882411127237 -23.6817920031383 -23.3690812207929 -23.0604235367622 -22.7982900067625 -22.5764839702604 -22.4403643900309 -22.3636754918619 -22.3227326359371
"trial22" -25.7745882883476 -24.1282626626644 -24.1178627893393 -23.9851772941436 -23.8667605735995 -23.6382829586903 -23.3193555832958 -23.0108257764471 -22.7726207913749 -22.6399904063386 -22.4066359887051 -22.388560478635 -22.2580220239485
"trial23" -25.7652735949696 -24.1955059214539 -24.1272948726975 -24.0142968377484 -23.843840198257 -23.6145131412146 -23.3082091856476 -23.017576700428 -22.7533268025069 -22.605573318014 -22.4343531147362 -22.3409625809211 -22.30538419607
"trial24" -25.780535558651 -24.1588069503969 -24.0905679560813 -24.0513507029483 -23.8775310547996 -23.6386372257618 -23.3238605321984 -22.9997976154895 -22.7540383943288 -22.5920163613701 -22.4594793608691 -22.3895276470878 -22.3221229716705
"trial25" -25.7423881562973 -24.1346526697073 -24.0786606234624 -23.9525950535842 -23.8220984986494 -23.6274814707368 -23.3925068848405 -23.0453921294576 -22.7828430564925 -22.6362384406512 -22.4619097191784 -22.4544216521543 -22.3383815037361
"trial26" -25.7715044271233 -24.1465233436648 -24.0917795279668 -23.9782794231127 -23.8520982924661 -23.5784017811219 -23.3266700189923 -23.0940694918188 -22.8048221658018 -22.540434797981 -22.5084447992946 -22.4239049037697 -22.3081641300464
"trial27" -25.8047548680547 -24.1542645806856 -24.049073315018 -23.9862250821542 -23.811556836878 -23.6321944873741 -23.3451875989406 -23.0652712613762 -22.7786746677628 -22.6302108080945 -22.474294764543 -22.4298057759518 -22.2350330551736
"trial28" -25.8075669506972 -24.1763677776876 -24.1067490671979 -24.0002072013366 -23.8753451824961 -23.6618684035911 -23.3388063187124 -23.000633703854 -22.7802753804591 -22.5718186226428 -22.4551232717996 -22.3722182494844 -22.2907201915779
"trial29" -25.7627226918152 -24.2005194514132 -24.0968994961856 -24.0781012969668 -23.8250449312886 -23.6736481173438 -23.4089992069297 -23.1039764198233 -22.8433692703014 -22.6306540032261 -22.5297199931775 -22.3987473433934 -22.3472598292159
"trial30" -25.7355367803862 -24.0868749532289 -24.1129919364033 -24.0758190214727 -23.876772534439 -23.6122652465702 -23.4075722467274 -23.0171460642439 -22.7944266083861 -22.5863864615727 -22.5060307621022 -22.4332986905837 -22.4123990668028
"trial31" -25.8083846245572 -24.1809031161018 -24.1101571671594 -24.0723245468456 -23.9339795954449 -23.6212219321987 -23.3475776337877 -23.0785495597495 -22.7360286795591 -22.5577924365731 -22.3298332211623 -22.1884414098785 -22.3696934409005
"trial32" -25.8053800477273 -24.1124690612324 -24.1208952890718 -24.0541909790968 -23.9078222153492 -23.6812613557546 -23.3484157899318 -22.9937789462086 -22.7512966157737 -22.5784602715524 -22.5040890546247 -22.4603190245348 -22.4168617230821
