"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" -25.8243012844859 -24.0090546288524 -24.0004604762134 -23.8639308898375 -23.7755250111916 -23.5592543735866 -23.2690547404448 -22.9248953812178 -22.6700684029782 -22.4343162616966 -22.3705934573547 -22.2768679112433 -22.2834554209112
"trial2" -25.7993596291474 -23.9840737490163 -23.9306601785046 -23.8666233733559 -23.8193589474333 -23.6461822364961 -23.3349893649204 -23.044903425847 -22.656130248349 -22.6482949770217 -22.3159127883929 -22.0507147615516 -22.1157090094052
"trial3" -25.8133602879344 -23.9747102944013 -23.9444838126805 -23.900181413887 -23.6894174890831 -23.5070538390747 -23.2571591091407 -23.1172560636563 -22.6687563505083 9.41068186292102 -22.3916103050443 -22.2202067084331 -22.354598681848
"trial4" -25.7511390673834 -23.9579800896855 -23.9253835731043 -23.8583070355168 -23.7218584957117 -23.5991630179733 -23.4296464300409 5.19335247809169 -22.759981780299 -22.4530450162523 -22.3305391017756 -22.3837482691391 -22.1664837575305
"trial5" -25.7693078491104 -23.9523522273669 -23.9908349895341 -23.9645821662142 -23.7432903865185 -23.6774643427946 -23.3573482849058 -23.1549156336093 -22.8527839074747 -22.8647971225801 4.49829306057911 -22.2184146658719 -22.2166011173094
"trial6" -25.7944498736551 -23.9554885816645 -23.9889492889038 -23.8271149755373 -23.6782859588275 -23.5352853731982 -23.2916948506004 5.5489791550665 -22.7829959526491 -22.4082787288839 -22.4185063827442 -22.307306379702 3.86313619535315
"trial7" -25.8135406186067 -24.0316957204869 -23.8519791629166 -23.8818622606577 -23.6826490785183 -23.6605503434922 -23.3357310450503 -22.9431543003442 -22.8314026695417 -22.5605430770344 -22.5327060673871 -22.2713642329631 -22.1818163411267
"trial8" -25.7789685245075 -23.8969157529805 -23.915981877919 -23.898492372417 -23.8902464761638 -23.5860733991052 -23.46616272223 -23.1638253452045 -22.7975091215008 -22.5109354702731 5.99142952942981 -22.4860077105797 -22.1756121159109
"trial9" -25.807112835922 -24.0704840029915 -23.8715044118331 -23.930853923279 -23.7021169330839 -23.6127435698261 -23.3739439725555 -22.9702900756215 -22.8184976999323 -22.6869238966428 -22.2661689293133 -22.2202606857852 -22.2814696622843
"trial10" -25.8404660009041 -23.88588920124 -23.917872417942 -23.844966051212 -23.7702506933978 -23.5124776294537 -23.3060671030472 -22.9832524116965 -22.8301543182492 -22.5737774517589 -22.4774805610529 -22.282756564673 -22.2600811373
"trial11" -25.6899340026631 -23.9248891643922 -23.8933815747036 -23.8298241894858 -23.7002483535961 -23.4806032766318 -23.2828959843567 5.24252928447705 -22.7198850117935 -22.4287563713426 -22.5291530810133 -22.2322540020052 0.417577646731613
"trial12" -25.9016122347933 -23.9977951594476 -23.9125901520505 -23.8269281074627 -23.6325974878829 -23.6052302688588 3634.22943266834 -22.9851223819975 -22.8569460957637 -22.4537515743093 -22.3620035364307 -22.4246869848086 -22.1947954188844
"trial13" -25.7565679166038 -24.0330786808069 -23.8684550748064 -23.8489528165556 -23.8423979519861 -23.5886959312064 -23.4143337165404 -23.0682454359009 -22.8013130829338 -22.6656009595036 -22.3145422469245 -0.209192853798721 4.85433487149146
"trial14" -25.7840647491528 -24.0074787045556 -23.9608930049376 -23.8076340026678 -23.7994301677409 -23.5806920484639 -23.2289825811906 -22.9511049565532 -22.7502900271454 -22.492179802943 -22.4813442740531 -22.3179384833615 4.98031178366228
"trial15" -25.8779543528663 -23.891582087471 -23.8892893978687 -23.806540529707 -23.7633176886127 -23.6203432390543 -23.3876728542117 -23.0234223213193 -22.8189227562308 -22.8048864461226 -22.5014504481298 -22.2606258502967 -22.366220134999
"trial16" -25.822216040105 -23.9347530660332 -23.9746971766257 -23.8283159799119 -23.7900865598902 -23.584981860814 -23.308574823512 -23.1823950462614 -22.9023591572871 -22.6723274976774 -22.5100811239496 -22.4339169589846 -22.3059984011846
"trial17" -25.8049631550829 -24.0009515678596 -23.9807492254334 -23.8713526705057 -23.7169622831354 -23.4878306368703 -23.2246349264027 -22.9797433536806 -22.7176543117749 -22.5052866738321 -22.3549187979865 -22.3319926895385 -22.2871139199573
"trial18" -25.7321619454417 -23.9352695175649 -23.9717997897272 -23.8867499843356 -23.7204213309011 -23.4284449486673 -23.2758008594942 -23.1637674176906 -22.8349554197838 -22.404349672935 5.42454413866812 -22.2557728328669 -22.2135441861329
"trial19" -25.800725913232 -23.9926870269156 -23.9665947210009 -23.93348058709 -23.6671899516603 -23.5593799993945 -23.2553139177026 -22.954941313647 -22.6236666707638 -22.3680093452572 -22.3481560189961 6.45288802837353 -22.1410203070708
"trial20" -25.7278113153956 -23.9951037725188 -23.8728558547608 -23.9419211377072 -23.6897865321454 -23.5899680204125 -23.234234285751 -22.9240618500985 -22.6312139228234 -22.4256325373107 -22.3003342804032 -22.2336863350339 -21.9920769301963
"trial21" -25.799492737378 -23.9964373654708 -23.9036936451636 -23.9116364589164 -23.7018167824119 -23.6932491954177 -23.3789673510652 -23.1048851285494 -22.6918360548043 6.38049550518803 4.69325404527195 -22.2848360687511 -22.1391968677974
"trial22" -25.7385158467308 -23.997561684407 -23.8523502256235 -23.704082447854 -23.6759980371604 -23.368171838488 -23.2350319055204 -22.9867981850992 -22.6307801698447 -22.5081241482721 -22.4096007050178 -22.2096742033632 -22.2270664852551
