"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial1" -14.0729532880247 311.657505638177 435.786071029054 495.483997820544 528.458831267948 545.772783937805 558.778097253614 564.280412469874 567.41864193582 570.804083214001 574.096539117769 576.375042817215 575.830278988785
"trial2" -17.1962457754203 314.737114784503 438.590006307302 496.847976397493 530.34740374411 549.787994375805 559.851057536188 567.397281689125 571.055944595588 573.366306428512 576.057544169573 581.11519126366 581.679311317846
"trial3" -17.4516530369373 313.844365040587 436.443679655287 494.591879439722 528.987207344127 547.500617420698 559.602408171695 565.264316699423 570.721801840056 572.463557282767 576.0759097302 579.962488774912 581.370370277243
"trial4" -11.9249800014133 318.876239982783 439.456850410818 494.491657499604 529.693802356614 549.050303327519 559.553675842234 566.603347215418 572.44246403536 575.773003551927 579.836770419545 582.381496359563 13.5901935720628
"trial5" -17.0077285353375 312.006400926182 432.463756880951 494.796951943348 529.882959608262 548.26373869932 560.535884423138 567.052495119645 568.700428352534 573.242603663147 575.717222883916 1.33638478552233 583.207510492565
"trial6" -10.3569001013677 313.375740952096 435.321977325302 493.626839953133 527.996101946534 547.637062119991 558.142656302627 565.08508939819 568.93135555952 570.636410338815 575.5349109939 575.144875208927 577.882088715083
"trial7" -15.3537383078102 311.314926589549 438.235374012892 493.199997576581 526.314703163399 549.410060032708 559.852295987742 563.243477700667 568.917730143396 572.415930313487 575.425249814982 578.123235323479 581.112620243064
"trial8" -16.2603089631945 312.058073934116 436.262605999438 495.395870284576 529.010386606989 548.604939054234 559.181862942538 565.086215597043 569.43965579446 576.246332547896 577.41887760301 579.146300172188 579.868941377942
"trial9" -17.249459371788 314.8232354462 436.241725939137 494.633404914947 526.735114642479 546.025955201434 557.880919859912 563.900327722212 569.985447116782 570.61785248661 577.819356708374 576.78614371002 579.761017696057
"trial10" -10.727649783229 312.257903963598 436.958600896375 495.948323199608 529.436941743211 547.325131448795 558.380042466688 564.130006830433 571.007119064408 573.088280559535 577.956779792004 578.54456396887 579.55413560307
"trial11" -4.34609075256852 310.219627285487 435.065488956357 497.043981929013 530.499573155204 548.259715961005 557.525581829236 562.728966211744 570.53720604374 572.257297302288 574.712358536445 576.7118850103 578.977420178711
"trial12" -10.6224963465047 313.310814624272 434.923100085213 495.568626610567 528.533833842474 546.543723806458 560.233813283456 563.668705819773 570.678770459256 573.615155369614 578.065930287565 577.24607080706 578.537215086537
"trial13" -15.9205018098881 313.365445460035 435.937071586472 494.409420098547 527.526558097934 550.082308007179 560.500858554189 561.899129744437 568.709583969196 572.350991734729 576.033555012468 582.688768483217 581.359117594248
"trial14" -11.7307910384351 312.656578563336 439.104399530522 496.912334927372 529.280041928889 548.832566577677 560.475539175976 565.527160073862 571.497256269691 577.217217765642 576.815020146874 580.306001687941 581.367059584339
"trial15" -10.8251380922529 310.403635700041 438.511087777008 495.093555342977 531.097765200126 547.787938064648 559.967397135053 566.836733752706 569.607696591636 573.425224784891 577.663508291464 581.838743044339 579.45785173447
"trial16" -8.56302891573633 311.10397744393 433.105759898789 496.876286088764 530.673820798362 547.948713723348 557.473410387316 565.165900631819 569.740604017871 573.096422032567 575.586815501523 577.019252349262 581.89452108439
"trial17" -10.1167101298607 315.346682919519 439.110019958405 497.455131487406 529.813484507068 549.487353440763 560.816659563181 567.383789414158 570.897857176523 573.247771457997 576.189431890986 577.825620578629 581.640331778935
"trial18" -12.5786253049275 313.712739780713 437.715431590777 498.482107288517 529.107431112846 548.613589618815 560.956435545173 565.466964524248 570.358992509536 574.390970922024 577.335065951897 575.516822135113 580.572805015824
"trial19" -15.9702879927277 314.663104969019 435.956558789173 494.958402184405 527.530304315545 546.823921743155 557.451866145158 565.352843465295 569.366632805178 572.453444052788 577.592690527438 578.329903250272 577.16648903167
"trial20" -9.99838606858787 309.051658904973 434.872818641243 496.070224405828 527.704529832335 547.273280688405 555.038612782204 562.011755392626 568.172216303451 569.462629934724 573.942916698822 576.378727835238 578.74155022546
"trial21" -10.159626818099 313.582331966249 435.520523897348 496.567321361794 525.68844232186 547.615932229976 562.374273907793 565.864549465125 566.896657359899 573.091186956165 573.661718417302 578.742433231748 581.527728702418
"trial22" -9.37302473494749 312.187923861882 437.970197128961 497.407913911289 528.311462584228 549.234874019918 559.599243176899 566.620776770665 0.675774130883235 575.120395741126 575.934551195919 576.491598793838 580.732046375519
"trial23" -17.5864231383398 312.465808393881 434.790834382949 494.789493467775 529.484722547059 548.453063504458 557.788060691625 564.838206529191 570.811145356059 572.834389851346 573.13569555631 577.646434533205 579.386241808607
"trial24" -15.7602314923924 313.274781371282 436.695734147617 497.50517347792 530.802068966828 549.831031436792 559.711538005857 566.574477448359 570.749152898493 575.065790137337 576.748126564367 576.553470770631 581.368250040466
"trial25" -12.0930091859661 313.047402883142 433.859213138939 494.632580980753 527.677540530342 548.192548005487 558.902511844611 565.408557505358 567.924532739916 574.294116099537 576.671300855203 578.694401262802 577.859396585762
"trial26" -14.0014848116215 314.609992074015 437.339431563443 495.81594733285 529.799226456426 548.519828320883 559.055094471105 566.573453951389 572.36357111869 572.738722577497 574.432604056934 577.698771828274 579.557335970263
"trial27" -13.1463401529893 314.794099192642 431.976844812008 495.851202048745 528.598526799313 549.20749299129 558.249974223264 562.690845331786 569.116849502755 573.305465164104 574.762207718893 575.398423573123 578.866622524152
"trial28" -14.3113551860482 313.88800113341 436.291236788128 496.472893980009 530.413116040063 547.884416289788 559.660761546302 563.545102970061 567.383911103717 572.72273656201 574.475786072444 576.708359338974 580.371453546945
"trial29" -20.5487040118836 314.552619244179 437.266364998464 494.705013953436 528.174317253011 546.92451823271 558.25163976476 565.333781440849 569.336412094413 572.012402376265 575.678765816042 579.705675436755 578.151909028262
"trial30" -10.4682461620832 310.869321202055 436.429273216648 494.863669866134 528.826895019155 547.395794108087 558.674196672422 562.573295208713 570.349145372663 571.470685699708 573.011133366374 578.092831070021 578.415696629951
"trial31" -6.42061560774798 313.362132032033 437.89375093146 496.955040593482 530.736783858008 549.127186736143 559.169409505605 563.158792950144 570.137468023674 572.333330919093 576.077989071213 578.189454902153 582.73695248164
"trial32" -10.1771382457627 315.860300646687 437.043782567701 496.281446579926 528.375539809014 546.991345902946 560.474160739287 565.025693879467 570.843065517448 573.448922063125 578.757340877022 576.884167638242 578.599802036857
"trial33" -9.88197578554199 312.056342687372 435.070341047943 494.583243985379 529.1691939727 548.650100953628 559.985252939833 563.672494931707 571.785129141908 572.477917155581 575.58955406183 579.103206951319 582.006167992783
"trial34" -16.5110164357288 314.786895049863 435.822651838015 496.083195572956 529.956413672898 547.675457003162 558.647232387596 564.069273608442 569.746813189272 572.55928781255 575.252097188426 577.482968572534 576.736998897023
"trial35" -12.1390024263537 313.875561446927 433.900236064044 495.985174174374 530.385594234089 547.812764069958 559.543613282233 564.059322578698 568.448240152933 575.9247969553 577.447548247427 579.438699353383 582.444367499865
"trial36" -9.26638114663728 312.610908088943 437.301375981331 496.39282474509 530.658344789424 547.440219010609 558.333929744775 564.915061031146 568.808538219835 573.629072827268 577.236366426297 577.044071755512 580.957999386479
"trial37" -13.2636752696248 313.084379960151 435.030211085479 495.131418231786 529.693938247407 548.886718693495 560.391128670526 565.681583246383 569.774412412782 574.280010177492 575.038985731304 578.572560207173 579.103303256168
"trial38" -14.1838749038533 315.330286480841 436.762492959785 497.056882338089 529.174547221765 548.305081574292 560.276122499061 564.667544399986 569.235188703348 573.797532298786 574.386813991987 579.893826562596 579.726755642622
"trial39" -11.1238362116945 313.217369609697 435.990628350959 496.756011037873 529.939224990829 549.311200320129 558.804859069529 566.234375821817 571.260970583484 574.787825208603 577.345917716792 579.038572483999 581.21295401187
"trial40" -10.076846921684 312.8406521106 438.774481914296 496.930911380397 528.910945124775 548.907455463711 560.390797647786 567.242777636628 571.79924591964 574.369477972273 576.908236126464 581.399796861159 582.013904549317
"trial41" -17.0518982856209 312.69199981604 432.858668938316 493.458362535551 527.194356583143 545.563351200831 555.731805689835 562.344209614628 566.506703043867 573.94779276515 572.287927277669 576.960148069492 579.993753248305
"trial42" -8.77450048345342 312.843724360229 436.687845706642 494.483180720967 528.792910972412 545.799737627675 559.333640512328 565.371305375665 567.531842384924 572.717352525716 574.238690008901 577.215192724971 581.261810823204
"trial43" -4.24182087454494 314.266217175092 438.510132192443 495.308190549801 529.791926443523 549.364272129482 558.80775408791 564.033234174189 569.430555630438 12.2480184605976 575.804758128177 578.29850047917 581.689475905862
"trial44" -16.6845675478231 311.226413047735 437.415108101241 493.958436362986 527.607114985716 547.632612854357 557.511347447408 566.321776805586 571.60191186035 572.852751801216 577.782439636997 579.665170211841 581.858168407323
"trial45" -14.5155096430683 313.490820566121 434.674757791033 493.095455950942 530.021593064173 548.207696166708 557.076351883397 565.091393051849 570.632394842859 575.120266252082 574.225823123004 576.549467559624 579.931995293289
"trial46" -10.3824274604594 312.830375171646 433.970901446458 497.28379400566 529.924088370723 550.762898402898 561.769932314775 565.764399482424 569.824901263424 573.424883955604 576.245070272879 579.502005538911 580.093131992006
"trial47" -17.9137580306777 312.577803820255 438.586319990034 498.385056684569 529.809454778399 547.772885369045 560.074557114737 565.220484984764 569.191990047958 574.917207554533 577.071731497544 578.190325311628 582.736271943491
"trial48" -20.2883568873747 308.36264816676 435.300441741671 496.443272582762 527.669136704611 547.474049698906 559.33997213216 566.917354982619 570.215153775663 1.75975405719153 573.611344137285 578.407384577027 582.694109907711
"trial49" -4.54849194325456 313.179023620413 439.766684888595 496.070533462163 528.582699942569 549.109121129753 558.776551753613 564.712027055731 574.169049267596 574.679735761798 578.619592877341 579.993472426573 580.731600436292
"trial50" -15.2069370355366 314.251225278151 437.064585796189 499.319557575399 531.528343468329 548.391096305067 558.888513395055 566.969748595476 570.737929496297 574.296327160156 574.876742444997 577.606909148429 577.78518391451

