"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial12" -21.5361106088363 320.111371580573 448.971908741468 508.718334760879 542.133430634425 563.593696280384 13.4451887808214 581.750606425647 586.793792263826 585.731956289138 586.953386373592 592.808918959114 590.533380050794
"trial13" -23.3167208559489 317.618836343872 449.610496482175 509.91635284786 544.952844161416 564.835173972884 575.57413772105 583.014227009171 587.146343955826 589.027688795062 588.478817721692 -0.969320718343333 -5.24185288523354
"trial14" -16.2537723131273 321.703369458023 449.207725068723 509.340292815364 541.535117108097 563.313494696698 573.439187883399 580.331800643436 585.738673461798 585.891926337787 589.243846035469 590.434018139371 -0.30434200131795
"trial15" -20.9778465595665 319.910731279643 450.545406056103 506.756764936902 544.895613380938 564.603148943986 577.319944515535 580.982548485416 584.256731075477 591.49428222278 589.639007246486 589.980421354392 596.151043405855
"trial16" -20.3531385228248 321.92112486065 446.191303307681 508.571622206191 544.435024435208 564.302994577075 574.859585305446 582.137823590101 585.705343598031 587.712117771798 588.380640167355 592.663653022027 593.590294259462
"trial17" -18.7781389278024 319.991796708604 447.12323958305 510.660528329732 544.56906725461 563.721667929195 575.619949775989 581.444090326025 585.878003932963 586.198590569938 587.136611290395 590.591468800098 592.504692201242
"trial18" -12.6280672849874 318.190772148755 447.556938705559 510.328123806863 541.457545001025 562.750402848878 574.545484850181 584.228234742928 586.488052488001 584.250186033374 -2.65552079862815 590.400657396896 589.358988000595
"trial19" -20.9957967781157 318.16773242195 446.321227350229 509.066521347966 541.386790840299 562.725241627756 575.107855540109 580.91718830983 582.918495482561 584.963229235362 585.794358440138 -3.34974889822084 588.756726017958
"trial20" -17.070182410931 318.004073370008 444.778234853323 508.725431498821 543.424998935366 563.768006644473 572.918108516535 579.205209018374 582.150729347253 583.736376304195 586.513794138558 589.338772839254 588.099962136298
"trial21" -18.2097970243858 319.448584713833 449.704883037173 511.464120470431 543.242702298968 565.926969168689 575.286208317912 581.798267820787 584.125616836941 5.22298368525604 3.96811281750444 590.446175060441 591.275244015624
"trial22" -19.2758211085294 317.924424380681 445.683925865017 509.534142143808 543.424149976175 562.063990292496 574.850452969621 586.066089370357 585.02165046789 588.399148430157 591.861614000004 589.797775875944 593.093640408537
"trial23" -20.2189545587766 321.585743477316 445.323012846124 510.780129168727 540.927070561301 564.923468486486 577.497057757366 582.185476320094 583.919888371527 -1.34276814246854 588.234246548194 589.651192879556 591.36045391333
"trial24" -21.062834545244 322.719716088009 449.148025295685 507.243910551356 542.629358420363 565.333431603859 576.599962261547 581.733358952073 585.64939756737 585.511529669138 590.270504067887 591.959346587698 592.298282015728
"trial25" -22.4519358581346 320.328931168719 443.540434527131 507.070221485578 544.275721742021 561.800839160337 574.445212608703 578.52750231612 583.585009777478 585.934007954164 585.803135660889 587.239258792017 588.888416186105
"trial26" -15.9851922083495 323.429501363781 448.095509450155 507.140008713645 542.304549364436 564.905280308419 576.547473429921 580.912690076393 583.379596423271 590.325755569369 586.64129298904 589.656778366358 590.7174837915
"trial27" -16.841745100307 320.194461081794 445.882612231735 507.362964625703 542.05902542387 564.990123445391 578.155735458772 582.280691984369 580.950911035099 582.585315532246 586.30706149885 588.351124746334 587.463344813448
"trial28" -20.8927145901505 322.127470157405 449.27139997763 507.986875168905 544.14246268594 563.13777974371 576.003483106835 583.723817772428 584.701586186672 586.595545144516 586.731386790345 591.126578035755 592.85780694926
