"Inaccuracy" "Seconds"
"seed=1" 29.3260213768315 0.358
"seed=2" 46.5392437713464 0.359
"seed=3" 2.82209105093228 0.339
"seed=4" 10.8321304896537 0.369
"seed=5" 4.59352332684644 0.35
"seed=6" 3.56569171932412 0.358
"seed=7" 50.7459419075421 0.366
"seed=8" 17.3143742056902 0.375
"seed=9" 23.7420675294873 0.323
"seed=10" 10.6983630479812 0.357
"seed=11" 47.2292181475193 0.386
"seed=12" 8.78741704851332 0.345
"seed=13" 0.459804919410685 0.322
"seed=14" 10.1929224853726 0.342
"seed=15" 11.1840303693354 0.349
"seed=16" 32.1658516489953 0.337
"seed=17" 31.7364642351737 0.368
"seed=18" 13.2146343101587 0.392
"seed=19" 19.0495531256311 0.352
"seed=20" 19.2670663373893 0.371
"seed=21" 31.4764077562452 0.403
"seed=22" 43.6503952901776 0.39
"seed=23" 12.4268165586393 0.359
"seed=24" 49.3798089085323 0.36
"seed=25" 21.4042481003592 0.402
"seed=26" 0.396737491911239 0.401
"seed=27" 44.9335753033954 0.342
"seed=28" 4.72359114493333 0.393
"seed=29" 28.4960395067508 0.362
"seed=30" 33.0945864847143 0.394
"seed=31" 4.2253211536418 0.388
"seed=32" 14.3851068553043 0.394
"seed=33" 22.526741105534 0.361
"seed=34" 3.5897410441202 0.373
"seed=35" 1.61355500787207 0.362
"seed=36" 5.54767845058799 0.556
"seed=37" 37.2389350166959 0.351
"seed=38" 15.920926660106 0.394
"seed=39" 6.67579317697021 0.382
"seed=40" 29.3658835521118 0.433
"seed=41" 0.701649779406627 0.358
"seed=42" 25.9186212527058 0.377
"seed=43" 11.1995325804558 0.383
"seed=44" 53.1520070192581 0.373
"seed=45" 22.3460250666947 0.333
"seed=46" 11.6618998383815 0.398
"seed=47" 8.30181531400501 0.422
"seed=48" 2.82745020944408 0.388
"seed=49" 10.930034026417 0.584
"seed=50" 3.16643243276488 0.367
"seed=51" 8.31042667594753 0.365
"seed=52" 53.1534200646618 0.389
"seed=53" 13.934036730533 0.407
"seed=54" 0.802739109963086 0.366
"seed=55" 8.09319805475389 0.353
"seed=56" 15.8290745109451 0.363
"seed=57" 12.2163177884692 0.336
"seed=58" 9.47581943281527 0.355
"seed=59" 9.25907801165709 0.383
"seed=60" 20.459892287662 0.928
"seed=61" 63.9892324586304 0.395
"seed=62" 4.46148604190101 0.372
"seed=63" 13.0165616604045 0.363
"seed=64" 31.7661364419406 0.367
"seed=65" 28.8833333166203 0.379
"seed=66" 1.21819011188889 0.323
"seed=67" 40.6404109261005 0.437
"seed=68" 7.30174566347339 0.338
"seed=69" 9.91499064867421 0.397
"seed=70" 10.1843933768152 0.369
"seed=71" 37.68875377093 0.359
"seed=72" 1.06999126212284 0.371
"seed=73" 3.87156677196938 0.537
"seed=74" 30.2163947334417 0.416
"seed=75" 17.9745981972467 0.363
"seed=76" 2.4174194937778 0.386
"seed=77" 38.4391406346575 0.372
"seed=78" 38.8482482028983 0.379
"seed=79" 2.28144790409344 0.384
"seed=80" 26.0249154493295 0.367
"seed=81" 3.80804003104257 0.33
"seed=82" 10.4397300795048 0.387
"seed=83" 12.2122976060705 0.383
"seed=84" 16.1205626308467 0.35
"seed=85" 13.2963050974063 0.354
"seed=86" 5.11039414858495 0.372
"seed=87" 18.2054631752735 0.368
"seed=88" 6.26354893396739 0.433
"seed=89" 16.84952131885 0.377
"seed=90" 8.73062190546089 0.342
"seed=91" 11.941634517713 0.4
"seed=92" 1.32853144801388 0.532
"seed=93" 7.73194819456421 0.437
"seed=94" 1.65109990511099 0.375
"seed=95" 20.757939224699 0.345
"seed=96" 11.0514213220508 0.363
"seed=97" 3.17583093313201 0.326
"seed=98" 5.83956274701954 0.334
"seed=99" 19.0343097492638 0.41
"seed=100" 62.8376599234757 0.36
