"Inaccuracy" "Seconds"
"seed=1" 0.003702022167883 27.603
"seed=2" 0.000344276208341998 28.032
"seed=3" 0.0101476070687143 29.573
"seed=4" 0.00480096845438887 18.877
"seed=5" 0.00121880699764825 19.761
"seed=6" 0.00360288341569079 40.129
"seed=7" 0.000749317252657787 29.012
"seed=8" 0.00835762774030963 19.443
"seed=9" 0.0027289913751041 18.148
"seed=10" 0.00102825966673657 19.443
"seed=11" 0.00835052141169814 27.96
"seed=12" 0.0104606251504477 29.081
"seed=13" 0.0418945448622727 26.223
"seed=14" 0.0153494690172019 26.882
"seed=15" 0.000699312910017328 14.286
"seed=16" 0.0161698863716652 27.416
"seed=17" 7.15793745599228e-06 16.183
"seed=18" 0.00169378622689389 12.487
"seed=19" 0.000128085963795105 15.535
"seed=20" 0.0102424548272377 14.891
"seed=21" 0.0046485144907628 28.246
"seed=22" 0.00539898982090485 25.777
"seed=23" 0.00753431635898797 16.644
"seed=24" 0.0380154214104586 28.596
"seed=25" 0.00988507877842855 14.965
"seed=26" 0.0273898780416012 16.364
"seed=27" 0.00333955741124764 35.269
"seed=28" 0.00887351144762309 17.441
"seed=29" 0.00217592723263233 29.697
"seed=30" 0.0060046145690919 17.998
"seed=31" 0.00230489895465951 31.754
"seed=32" 0.00197484986524936 28.589
"seed=33" 0.00240267570486115 17.78
"seed=34" 6.35163215706486e-05 17.661
"seed=35" 0.0114992249596646 24.701
"seed=36" 0.00213725810333531 28.426
"seed=37" 0.00122767688657131 14.89
"seed=38" 0.00111028971580962 15.157
"seed=39" 0.0167450790107788 18.393
"seed=40" 0.0024837818872634 19.149
"seed=41" 0.0020752651214663 42.755
"seed=42" 0.00835701365009163 18.15
"seed=43" 0.0100725582902664 18.456
"seed=44" 0.0173070900569679 25.412
"seed=45" 0.0105472884581338 15.185
"seed=46" 0.000516857097391484 27.917
"seed=47" 0.0037105461734671 28.163
"seed=48" 0.0026492785286088 31.228
"seed=49" 0.00762643368395838 18.122
"seed=50" 0.00228402054179303 16.391
"seed=51" 0.0101660482033723 19.178
"seed=52" 0.00811570735881978 15.612
"seed=53" 0.00205443841960226 14.844
"seed=54" 0.00124171659802032 29.158
"seed=55" 0.00537755567966599 19.249
"seed=56" 0.00911217072590401 15.415
"seed=57" 0.000657780765569385 26.439
"seed=58" 0.00448126009306032 17.163
"seed=59" 0.0192393345982803 16.277
"seed=60" 0.00308878726116356 15.701
"seed=61" 0.000229634197439981 17.505
"seed=62" 0.0307318864080295 27.357
"seed=63" 0.00655515491910346 28.999
"seed=64" 0.000800156976772852 19.407
"seed=65" 0.00131464466458842 21.026
"seed=66" 0.000197142869863299 22.628
"seed=67" 0.000132209547504337 18.868
"seed=68" 0.00282833199457962 18.859
"seed=69" 0.00109622447657096 33.951
"seed=70" 0.0032492139151106 28.22
"seed=71" 0.000773636705869507 15.927
"seed=72" 0.00177848268468839 19.197
"seed=73" 0.0202794180463276 35.056
"seed=74" 0.0436814966209122 30.764
"seed=75" 0.0179083542747638 29.101
"seed=76" 0.00858074074754015 19.957
"seed=77" 0.00162870091678389 19.829
"seed=78" 0.000137940257690563 15.436
"seed=79" 0.00716881714749213 20.433
"seed=80" 0.000542485133723397 19.796
"seed=81" 0.0238366422818721 20.471
"seed=82" 0.0190189658584616 18.429
"seed=83" 0.00184963481736889 19.945
"seed=84" 0.00649577278086845 19.763
"seed=85" 0.00142819105466696 18.901
"seed=86" 0.054715883973453 15.187
"seed=87" 0.0115118038229518 17.383
"seed=88" 0.00252160603128542 18.725
"seed=89" 0.0305285993915967 20.405
"seed=90" 0.000484522156972007 23.689
"seed=91" 0.00380237806572061 19.302
"seed=92" 0.00106764890061698 18.178
"seed=93" 0.00538419526739249 31.967
"seed=94" 0.0114616220737384 16.764
"seed=95" 0.0107371151075999 19.383
"seed=96" 0.0116893175944457 14.392
"seed=97" 4.17390730545502e-05 17.695
"seed=98" 0.000897171902687414 20.686
"seed=99" 0.00555223511167309 31.151
"seed=100" 0.0328842915049601 32.145
