"Inaccuracy" "Seconds"
"seed=1" 599.263980223334 0.666
"seed=2" 613.521191040385 0.659
"seed=3" 679.325206797723 0.612
"seed=4" 677.267952321078 0.642
"seed=5" 676.351999812491 0.694
"seed=6" 628.685525867213 0.648
"seed=7" 622.417709681352 0.659
"seed=8" 588.219752519968 0.642
"seed=9" 624.932590827952 0.611
"seed=10" 573.489350827068 0.669
"seed=11" 583.434198821909 0.637
"seed=12" 614.520773395075 0.633
"seed=13" 569.578365761087 0.685
"seed=14" 639.878516646092 0.651
"seed=15" 607.045408409518 0.668
"seed=16" 655.941064296305 0.655
"seed=17" 629.973087068768 0.644
"seed=18" 577.424029042727 0.658
"seed=19" 634.487107707527 0.657
"seed=20" 633.402557744437 0.647
"seed=21" 651.531935497842 0.627
"seed=22" 628.811686406495 0.619
"seed=23" 634.565655686763 0.626
"seed=24" 626.322066691588 0.652
"seed=25" 633.015341558402 0.687
"seed=26" 648.644492047896 0.64
"seed=27" 555.789151249897 0.638
"seed=28" 577.543191220331 0.608
"seed=29" 587.125738585424 0.623
"seed=30" 638.165826157426 0.661
"seed=31" 615.42556421944 0.633
"seed=32" 612.977453844321 0.617
"seed=33" 575.697587054048 0.602
"seed=34" 602.755152060189 0.617
"seed=35" 604.685133823771 0.638
"seed=36" 704.323615081742 0.635
"seed=37" 649.783593332489 0.623
"seed=38" 601.820994151665 0.591
"seed=39" 619.486270126786 0.639
"seed=40" 621.117454622471 0.629
"seed=41" 563.094096774718 0.618
"seed=42" 600.898574242276 0.671
"seed=43" 632.532181662128 0.621
"seed=44" 560.401831785119 0.606
"seed=45" 662.158276785209 0.607
"seed=46" 604.174733660689 0.627
"seed=47" 604.779984359344 0.619
"seed=48" 687.894074279331 0.616
"seed=49" 662.467221683159 0.616
"seed=50" 604.040341945675 0.621
"seed=51" 665.111399992008 0.62
"seed=52" 574.741703947273 0.595
"seed=53" 646.670201539829 0.621
"seed=54" 601.988655914561 0.616
"seed=55" 629.639156669772 0.67
"seed=56" 702.299992831006 0.635
"seed=57" 543.880814058683 0.582
"seed=58" 666.289906650324 0.613
"seed=59" 596.227770146555 0.624
"seed=60" 597.271392874483 0.614
"seed=61" 670.127254201135 0.624
"seed=62" 651.240613022038 0.621
"seed=63" 687.030676265398 0.601
"seed=64" 567.617933080414 0.636
"seed=65" 644.706003012552 0.603
"seed=66" 648.730693040768 0.568
"seed=67" 574.217020866506 0.605
"seed=68" 586.586039496465 0.632
"seed=69" 553.482032234218 0.615
"seed=70" 617.261222657382 0.636
"seed=71" 634.998394717343 0.66
"seed=72" 575.575401601461 0.591
"seed=73" 573.396837429137 0.673
"seed=74" 633.031675709398 0.577
"seed=75" 575.428640115227 0.617
"seed=76" 623.461587330133 0.632
"seed=77" 569.553177121399 0.606
"seed=78" 624.529915960617 0.628
"seed=79" 688.975045712971 0.64
"seed=80" 571.531297146478 0.612
"seed=81" 595.124483029843 0.59
"seed=82" 601.170853655233 0.565
"seed=83" 607.734352518724 0.587
"seed=84" 623.772400267461 0.618
"seed=85" 637.468201137062 0.649
"seed=86" 603.039755834599 0.61
"seed=87" 649.769835991627 0.601
"seed=88" 661.917686482021 0.609
"seed=89" 600.352463943363 0.563
"seed=90" 550.889939024109 0.599
"seed=91" 643.619287470177 0.619
"seed=92" 571.99653267177 0.59
"seed=93" 657.147704028634 0.684
"seed=94" 647.662208335651 0.6
"seed=95" 660.77848411134 0.605
"seed=96" 671.065838604173 0.607
"seed=97" 585.603384331486 0.6
"seed=98" 620.61467108889 0.64
"seed=99" 629.17904195936 0.657
"seed=100" 689.233615396759 0.612
