"Inaccuracy" "Seconds"
"seed=1" 85.1319898443237 72.646
"seed=2" 69.6291664858887 53.852
"seed=3" 104.427875786721 51.674
"seed=4" 63.610074299079 57.999
"seed=5" 72.1476919316087 59.885
"seed=6" 67.3985247353139 53.062
"seed=7" 72.6463554065389 52.452
"seed=8" 63.6588732909222 86.84
"seed=9" 70.7160678061152 47.909
"seed=10" 135.731428704989 61.961
"seed=11" 66.2329479796504 59.303
"seed=12" 68.3961422191587 54.579
"seed=13" 102.868631249336 54.521
"seed=14" 65.9993247594052 57.556
"seed=15" 78.4194567290056 56.113
"seed=16" 68.2864762229492 57.685
"seed=17" 152.836117280425 48.68
"seed=18" 72.2373583953752 66.003
"seed=19" 65.9994314159578 66.417
"seed=20" 66.5938686634039 58.538
"seed=21" 63.88203731055 55.232
"seed=22" 73.8673432941611 53.755
"seed=23" 77.0668494979978 61.529
"seed=24" 67.1219128232046 56.941
"seed=25" 93.7557007065749 51.232
"seed=26" 64.7251195297234 63.83
"seed=27" 63.8067880165718 90.793
"seed=28" 70.3325628895861 59.048
"seed=29" 94.1530572708436 55.707
"seed=30" 114.073082699263 55.367
"seed=31" 81.8782571216442 49.197
"seed=32" 77.9041666479007 56.493
"seed=33" 68.5220339634646 58.315
"seed=34" 63.5370443574287 58.814
"seed=35" 396.857859722579 39.287
"seed=36" 79.4220101946839 55.258
"seed=37" 100.111975613735 62.61
"seed=38" 63.873922679387 83.875
"seed=39" 69.3951489496331 60.591
"seed=40" 113.242012473763 54.175
"seed=41" 101.586463381798 62.309
"seed=42" 75.9054778940707 53.582
"seed=43" 66.1557399861632 51.491
"seed=44" 84.0252548693969 59.981
"seed=45" 149.286639738456 52.676
"seed=46" 63.8066507556329 68.664
"seed=47" 107.088651338017 73.243
"seed=48" 98.5002840038221 54.031
"seed=49" 67.5303992234835 51.125
"seed=50" 69.7797079286454 64.099
"seed=51" 76.5533696641312 76.751
"seed=52" 66.5673010162585 73.297
"seed=53" 63.9509626010494 64.138
"seed=54" 66.5691309043501 59.313
"seed=55" 64.978975544259 53.806
"seed=56" 64.5917148387785 64.946
"seed=57" 67.0140835242128 61.279
"seed=58" 66.7864446286506 52.105
"seed=59" 67.7767850324862 52.954
"seed=60" 65.0853027576814 56.542
"seed=61" 63.59948040024 65.332
"seed=62" 86.1182952594857 52.441
"seed=63" 64.371271810865 76.191
"seed=64" 78.4929183188231 48.944
"seed=65" 68.9033663939979 57.521
"seed=66" 66.6091267481779 49.316
"seed=67" 63.7040377544311 50.892
"seed=68" 114.554846688137 49.085
"seed=69" 113.022158657997 64.126
"seed=70" 63.964080519897 48.942
"seed=71" 64.5735726593032 69.088
"seed=72" 94.713540698828 66.504
"seed=73" 63.924416870505 57.914
"seed=74" 65.5274395214971 58.72
"seed=75" 102.502701441034 63.332
"seed=76" 73.6548697240736 55.649
"seed=77" 69.0468295573763 54.598
"seed=78" 63.4965087981485 57.155
"seed=79" 65.7783533190573 56.623
"seed=80" 87.9430931629944 58.38
"seed=81" 65.0242052187615 60.685
"seed=82" 73.8305547827597 65.753
"seed=83" 88.120230274694 61.442
"seed=84" 64.0783858944095 62.012
"seed=85" 63.6058093436008 57.695
"seed=86" 67.0251316400419 63.117
"seed=87" 156.704377637897 53.621
"seed=88" 64.5435470459025 62.11
"seed=89" 72.1470567112578 56.896
"seed=90" 91.5101270328715 58.447
"seed=91" 84.0201065455934 55.855
"seed=92" 66.8235503459868 59.769
"seed=93" 75.0750839623473 70.18
"seed=94" 68.1802873693156 62.081
"seed=95" 75.9031602823991 57.795
"seed=96" 67.9625044264455 54.024
"seed=97" 72.3141072123318 74.082
"seed=98" 64.4593596735899 49.302
"seed=99" 66.1209168228803 54.331
"seed=100" 63.7354763130956 55.478
