"m=2" "m=3" "m=4" "m=5"
"trial1" -4.83183413293852 -4.55956013356685 1.38888844119429 -4.42362584420343
"trial2" -4.83146430860363 -4.53717338264657 -4.4426738197265 -4.38225789219239
"trial3" -4.83029387669802 -4.54772193169833 -4.43377900775885 0.429300027336498
"trial4" -4.82563598927642 -4.57164502100896 -4.42256415546493 -4.38478566490507
"trial5" -4.84453671888768 -4.54747787331696 -4.45066155817238 1.06203680569622
"trial6" -4.84102811372794 -4.59599351679041 -4.4401373706175 -4.36582548622174
"trial7" -4.84212403546436 -4.56213870311031 -4.43242384151833 -4.38497237706289
"trial8" -4.8358102595255 -4.5668795103899 -4.44342306870023 1.34436251280259
"trial9" -4.83938161959348 -4.56186708793678 -4.43530440157028 -4.35014179905319
"trial10" -4.83192828212408 -4.55438367200992 -4.43671098088991 1.86842008837387
"trial11" -4.84024125455616 -4.57228076544676 -4.44980915521148 -4.37042716065811
"trial12" -4.83045168065216 -4.54584988718695 -4.43861809937695 0.93132600164904
"trial13" -4.83972554783359 -4.55736947809397 -4.43374738400542 -4.41384958671623
"trial14" -4.83212674820857 -4.53790260211068 -4.45405474265182 -4.33862256593352
"trial15" -4.84850933589391 -4.57527315738347 -4.43730971926692 1.69443621424713
"trial16" -4.82994966983141 -4.56950241944967 -4.42043124719148 2.27441980325097
"trial17" -4.83152407880681 -4.57164596366493 -4.43929480403212 -4.38147789473213
"trial18" -4.83060912023426 -4.54520392100981 -4.41687662228619 0.916253339647992
"trial19" -4.82380676758495 -4.55310252655265 -4.44309136230463 0.915613077313996
"trial20" -4.83502782765983 -4.55127368713451 -4.43458432310253 0.549262218233837
"trial21" -4.84076201362195 -4.5510349455424 -4.42828565287537 -4.42445416274253
"trial22" -4.82819526146339 -4.55869402424003 -4.4496016095762 0.864446139481123
"trial23" -4.83439629466237 -4.54877809703737 -4.4293384744673 -4.41106177680514
"trial24" -4.83824892828762 -4.56751990088762 -4.4484816726735 0.675250008506486
"trial25" -4.82873853871299 -4.5768075607305 -4.43014965437925 1.86835400007211
"trial26" -4.84403428810697 -4.54892925299385 -4.43101244608234 -4.40101273938138
"trial27" -4.82028129042665 -4.54649946031157 1.62890875676411 -4.36372695276595
"trial28" -4.83282438631881 -4.55210271998733 -4.43818288674471 0.892511494461163
"trial29" -4.84028879465911 -4.5665797464713 -4.43645935482255 -4.44648696302148
"trial30" -4.83505024104815 -4.56625027721361 -4.44973230965474 -4.43850890801535
"trial31" -4.85103738820377 -4.57442189162255 -4.44692739752581 0.898709320655003
"trial32" -4.83227740233454 -4.55714024195481 -4.44039132654844 -4.34048105706062
"trial33" -4.84515875932703 -4.57837437381335 -4.42588619216238 0.821366840303854
"trial34" -4.82905811967791 -4.56683268096714 -4.43258440661526 -4.45602812930915
"trial35" -4.84757300354433 -4.56953699502391 -4.42881549719573 0.406521833810661
"trial36" -4.82709474924181 -4.57484238190336 -4.43291696058096 0.998010413830874
"trial37" -4.82730667124862 -4.5464416107703 -4.4249909405133 0.679613215091228
"trial38" -4.84176617043444 -4.56693307601723 -4.44184370712813 -4.33974062863802
"trial39" -4.82076049942309 -4.54749688146486 -4.43846191460533 -4.39750745945687
"trial40" -4.82186509253555 -4.55339158075277 -4.4520840349063 0.994746540805279
"trial41" -4.83691654082348 -4.56341288837656 -4.43024121855468 -4.3641180427881
"trial42" -4.82373596315018 -4.54308611392784 -4.43952114803187 0.929474758175114
"trial43" -4.84245387483829 -4.55975894650159 -4.43685130280943 -4.3196300912558
"trial44" -4.84552852654415 -4.54799365225603 -4.42546261246814 -4.35059868807957
"trial45" -4.83336765779677 -4.54164771385468 -4.45284237473538 -4.32035848021692
"trial46" -4.841734613756 -4.57149865357737 -4.44483603574366 0.907056664258488
"trial47" -4.83675545623664 -4.55492967019277 -4.44351144716454 0.944465836494757
"trial48" -4.84218427920291 -4.57353716240272 -4.42297685803411 -4.40633462634911
"trial49" -4.84091044824214 -4.55233063536839 -4.44122392137457 -4.39748500668551
"trial50" -4.83465752061714 -4.54171995119013 -4.43642267069991 1.82131163411317
