"m=2" "m=3" "m=4" "m=5"
"trial1" 319.644497795936 207.519550128827 186.32927751949 1.11645086313885
"trial2" 304.29089904942 208.886238401321 1 1.70839507364232
"trial3" 324.912861921917 200.718988842961 1 1.67121815647596
"trial4" 319.303073637008 207.204680675919 183.488025844171 1.83655222211547
"trial5" 320.533873131855 1 193.99683342299 1
"trial6" 314.125110046881 198.984938401943 188.942123248252 1
"trial7" 324.961581047916 201.86013290461 183.105212106259 1.1844613676569
"trial8" 320.361991876346 1 193.032025345378 1
"trial9" 342.574253931709 204.214572659304 1 172.597938757933
"trial10" 324.519348533981 208.90193679599 186.913275080185 1.14615932786424
"trial11" 317.736878885669 200.281040531166 181.030197167838 1.2527326359893
"trial12" 327.696555078892 203.003537619069 191.147864324187 163.378671530321
"trial13" 324.816478703116 208.311722287256 4.10255126033478 1.30378036014367
"trial14" 326.335901594291 199.61400816387 185.664164298006 1.18026004458854
"trial15" 316.996549043419 204.024003512731 1 166.695634121589
"trial16" 321.407826833939 211.28866147471 183.968258411966 5.64315462735419
"trial17" 322.507538509878 206.115452597648 187.747205467748 1.35488996252831
"trial18" 334.597036171868 205.308538161732 1 1
"trial19" 1 210.115639186307 186.626168988006 1
"trial20" 320.89390331804 205.860146055743 192.542562223324 171.355414423251
"trial21" 341.313326846717 205.770390275071 181.100404715672 1.07600829195897
"trial22" 335.742042106929 206.325438893063 189.687398840354 1.00010971123536
"trial23" 327.730831780134 203.71201996992 185.743997553812 1.14816719124189
"trial24" 319.12953649567 207.987517644863 1 1.0470062046771
"trial25" 322.776324901846 210.285942516391 186.447223270247 194.435471385151
"trial26" 323.361468299028 209.025648285671 1.97003021730927 1
"trial27" 324.144118031328 204.989895385213 1 1
"trial28" 321.900535698532 201.572027990902 190.014407005195 1.00934421636374
"trial29" 315.710265263167 201.707237497706 188.079009002055 1.06798741260124
"trial30" 320.528340612595 204.664808127859 1 179.271029311701
"trial31" 318.590469267641 195.556808115776 188.969014891337 169.262002297539
"trial32" 327.410059334784 211.820462839649 186.489847147827 2.09484631970769
"trial33" 314.556270287296 207.893925398653 1.23484726859958 1.11676632070702
"trial34" 320.353421406731 1 1.11852838946805 1.04214657759938
"trial35" 320.217719878968 204.430107488308 188.65833854316 1.04337061399404
"trial36" 336.896921458917 199.739198809677 192.276266569776 2.45760160709703
"trial37" 333.260748571649 204.050034823934 182.162765420956 194.52058237665
"trial38" 318.610443092904 203.098591681165 186.614866669287 1.02683878938283
"trial39" 333.421819656644 206.645342699546 1 196.2858281283
"trial40" 308.701754541988 1 1.15236116670713 1
"trial41" 312.038825551331 204.334107620489 194.236486811304 174.462901948664
"trial42" 326.469061249806 208.542877333095 184.445226031925 1.34666552962737
"trial43" 322.255517470685 201.437816149353 2.6209135200136 1.04253603421939
"trial44" 325.014856260688 210.665253833842 1.04115948398804 1
"trial45" 316.083166635936 206.510826725588 1.93817294468154 1
"trial46" 329.202153034271 206.918775164356 187.648525727842 167.544874568937
"trial47" 305.547598944121 198.979752654409 1.86165273331482 1.043661678858
"trial48" 304.791818801651 198.56605439608 186.839942833228 1.09611865300334
"trial49" 322.610089079152 213.669296739479 181.25349304811 1.28451781165368
"trial50" 316.187898458483 203.882771212355 1.06797505486322 1.95085931821234
