"m=2" "m=3" "m=4" "m=5"
"trial1" 344.699889116829 204.229311841742 191.272922512751 155.265965869046
"trial2" 328.878452499839 212.556649162303 196.69031635703 1.22558548057521
"trial3" 336.518823064948 208.945815168446 205.535873054823 1
"trial4" 337.409965693099 215.556403264291 197.339257495723 1.06923536281756
"trial5" 344.072838315016 1 1 1
"trial6" 335.283441593121 209.25769207096 1 1
"trial7" 328.256998768268 225.502665712963 1.05206705438832 1.2598478860346
"trial8" 334.433439301161 218.989509564271 3.26254753777352 1
"trial9" 324.91001221961 1 2.17383413382444 1
"trial10" 343.546280602965 1 188.808151655347 192.280773266021
"trial11" 335.405024949597 214.959099829701 192.415129502477 1
"trial12" 337.953780543338 217.914802425587 1.63456908271991 1.28534613840414
"trial13" 330.028387670773 222.998831910914 183.577829096653 1.0818328244351
"trial14" 348.764841836045 1 200.197853375607 1
"trial15" 345.43908684453 1 198.75588085427 1
"trial16" 336.330665144117 219.181427972026 193.172145625793 1.18200683397169
"trial17" 335.299107971665 213.405041430124 187.786507003597 1.27197281804234
"trial18" 339.406530418897 204.582053759009 188.436934400438 211.31764100462
"trial19" 332.770930936712 1 2.21140242188668 222.120804661434
"trial20" 331.088824525671 1 195.624271535722 1
"trial21" 348.300867163358 1 188.30057439014 1
"trial22" 330.715732064528 200.356399279405 1.02351889573567 1.91664012603976
"trial23" 349.220939320081 215.316131590668 1 8.91826209306049
"trial24" 331.875478269773 1 1.46528278430227 1
"trial25" 345.602885038638 1 194.899757684165 1
"trial26" 336.897431869322 207.862951748196 190.990005938632 1
"trial27" 334.849817768889 221.905955304543 200.462279076395 1.20303257784719
"trial28" 330.54212356466 218.065934596474 199.926839665893 2.88801435562699
"trial29" 347.480739371087 213.890766528687 1 1
"trial30" 339.522003663171 214.257251107487 1 1.16491530661165
"trial31" 315.146213262429 207.863443195736 196.747180685357 1.18834019525682
"trial32" 333.509075684646 1.42073603421324 1 195.565084976764
"trial33" 354.09004270986 1 193.218946042939 1
"trial34" 329.154553862984 216.055100555436 1.44406764402674 1
"trial35" 1 218.395600726045 191.150166730724 1
"trial36" 330.893390128152 224.17436547284 1 19.8683918348495
"trial37" 343.528403727058 1 1 1.48091125633652
"trial38" 340.873462160862 219.270696496463 3.76248994337874 1.15891795411848
"trial39" 324.259608652404 1 198.527704622676 1
"trial40" 345.892921076816 1 1 1.03374279498632
"trial41" 321.777669273243 221.087664907022 191.047863834271 1
"trial42" 343.985164753512 218.000424319837 188.792918238783 214.831285074241
"trial43" 320.7861834628 1 1 1.2754917511822
"trial44" 336.05578670328 214.615727195188 2.08353536899599 1.49984722951531
"trial45" 319.02268330154 215.961996035681 197.093357977847 2.73364101403142
"trial46" 322.672441405522 1.11830316352552 188.490035049633 1.55291218039714
"trial47" 1 227.246373272276 1.25331538203963 6.00029086457546
"trial48" 337.181169532201 1 195.354173402208 1
"trial49" 332.729562514341 219.446329880982 194.108339508179 174.427984067041
"trial50" 362.414526028515 1 1 1.48728084322891
