"m=2" "m=3" "m=4" "m=5"
"trial1" 120.560256746707 115.662531575244 0.458520792017698 113.38736444516
"trial2" 120.602895209063 115.453033510417 113.746626408096 113.137029677355
"trial3" 120.756188627934 115.467159142673 113.563390456935 1.42641437524244
"trial4" 120.459709841641 115.950117156241 113.341555534346 112.524879796931
"trial5" 120.765637167274 115.626818436598 113.839451609772 0.0527859096232776
"trial6" 120.678546071409 116.356634722075 113.670597218567 112.454920568404
"trial7" 120.74227460313 115.72236240602 113.455359542669 112.742726423832
"trial8" 120.522976667354 115.678359593094 113.692481235991 0.131510678778184
"trial9" 120.640682830933 115.817357840429 113.470513749998 112.052362005886
"trial10" 120.563437218618 115.682159950624 113.66350763824 -0.411900485956503
"trial11" 120.641075431605 116.036251319591 113.898305093456 112.301634722939
"trial12" 120.468013814332 115.565785170451 113.582245204831 0.305530455474935
"trial13" 120.68266078195 115.719515875454 113.452033411028 113.337100848932
"trial14" 120.328640814968 115.340157446496 113.870515993497 111.879546294336
"trial15" 120.755630986464 116.000775365409 113.578244989292 0.677260954864368
"trial16" 120.579599697467 115.849987217727 113.155737609554 0.599799583781776
"trial17" 120.452216357694 115.827827173707 113.645132264777 112.948870468521
"trial18" 120.598901552358 115.581160568136 113.342728806791 0.273810452272251
"trial19" 120.369802144331 115.511363239378 113.695143938005 0.356433487062719
"trial20" 120.662255722056 115.564680636799 113.462644318907 -1.38090238794709
"trial21" 120.689865502658 115.505193716371 113.396755197336 113.343090799509
"trial22" 120.498435709852 115.864026241878 114.016937009758 1.30902775174478
"trial23" 120.555828077619 115.607470524554 113.382877850737 113.031898127902
"trial24" 120.476028626188 115.779837339815 113.667106799663 -1.05519241971999
"trial25" 120.462931470746 115.964724128058 113.612443606398 -0.362866842409961
"trial26" 120.753903220362 115.464941083669 113.485693315455 112.639682892482
"trial27" 120.301334199681 115.600019652228 5.35810318424098 111.611434736815
"trial28" 120.488012683688 115.568807090978 113.522324845336 0.219130889111417
"trial29" 120.747715466466 115.929501945436 113.621779506738 113.543896349339
"trial30" 120.565050989439 115.88446264698 113.970773568704 113.509369713233
"trial31" 120.804215723498 116.19085701549 113.6662094812 0.320049407388784
"trial32" 120.566356267609 115.661118601115 113.659180420454 111.813049054671
"trial33" 120.724787768718 116.124793829675 113.384067880979 0.337154871491256
"trial34" 120.569647620948 115.917478895536 113.478680805599 114.009858668307
"trial35" 120.91730885265 115.946596891233 113.52513066431 5.74568708568203
"trial36" 120.278436138962 116.06028985174 113.639168791237 0.755962991251712
"trial37" 120.421838941446 115.481040237153 113.342279891159 -0.025292451003998
"trial38" 120.79339239891 115.785251387572 113.7529960208 112.078612377613
"trial39" 120.321268147022 115.639644697621 113.750276423738 112.621805133257
"trial40" 120.177431839521 115.46813406474 113.978610994996 1.43352976860873
"trial41" 120.695319892689 115.97438408922 113.558321707609 112.384378740961
"trial42" 120.283331585658 115.629551404859 113.699515743371 0.402165329147569
"trial43" 120.80854903562 115.768068605348 113.587020635815 111.7673756934
"trial44" 120.743853951065 115.63338031417 113.428299545076 112.022574524449
"trial45" 120.579366610976 115.46305181042 113.79967935274 111.725824685862
"trial46" 120.707579791112 115.907136489825 113.7190620595 0.235688252065771
"trial47" 120.505411997578 115.624447368359 113.738590282632 -0.649849877383562
"trial48" 120.758052228564 115.918927401619 113.402102475395 112.953270839121
"trial49" 120.837184204689 115.396175065364 113.709105259224 113.451031253917
"trial50" 120.684464966059 115.502658771081 113.734343759458 1.09046851122871
