"Inaccuracy" "Seconds"
"seed=1" 13.6265409763146 42.473
"seed=2" 13.5840763184213 48.453
"seed=3" 13.6312994984276 58.215
"seed=4" 13.5996602291624 97.287
"seed=5" 13.591886349811 54.359
"seed=6" 13.4847160505868 48.919
"seed=7" 13.6019137429393 54.948
"seed=8" 13.4985036873627 69.297
"seed=9" 13.5129780792708 84.094
"seed=10" 13.4633003269132 67.924
"seed=11" 13.6163381191962 62.905
"seed=12" 13.5314363365629 59.752
"seed=13" 13.5354864561997 58.225
"seed=14" 13.6620764987096 55.563
"seed=15" 13.5498692198863 88.265
"seed=16" 13.5070358244702 47.979
"seed=17" 13.5080459929017 44.065
"seed=18" 13.5395391055102 45.641
"seed=19" 13.5106869723161 57.009
"seed=20" 13.5152783238664 55.192
"seed=21" 13.5765076004471 86.47
"seed=22" 13.5031792868489 47.638
"seed=23" 13.4950737757221 58.993
"seed=24" 13.4930402683792 46.804
"seed=25" 13.4960628126192 42.148
"seed=26" 13.6917403893251 63.775
"seed=27" 13.4782975968984 65.702
"seed=28" 13.5579528437934 50.903
"seed=29" 13.3830819988221 41.142
"seed=30" 13.6604756735858 100.187
"seed=31" 13.5010172152185 61.639
"seed=32" 13.5178594655082 48.104
"seed=33" 13.4850003374864 48.185
"seed=34" 13.5261415161704 43.816
"seed=35" 13.6113266972226 63.754
"seed=36" 13.5052755456479 53.615
"seed=37" 13.4480781738604 57.999
"seed=38" 13.5256474672031 62.914
"seed=39" 13.5612900318597 81.074
"seed=40" 13.611598585182 62.578
"seed=41" 13.4965773679098 42.233
"seed=42" 13.5222509502056 75.184
"seed=43" 13.5560508413332 57.758
"seed=44" 13.5840090642511 49.488
"seed=45" 13.5032274696807 46.656
"seed=46" 13.5286936294877 43.844
"seed=47" 13.548062412435 51.296
"seed=48" 13.5150570067086 46.469
"seed=49" 13.5599254373336 69.345
"seed=50" 13.5108953579227 47.456
"seed=51" 13.6269746175182 73.933
"seed=52" 13.506970034631 53.058
"seed=53" 13.6458982454862 74.993
"seed=54" 13.5099214265335 57.966
"seed=55" 13.5632374078543 48.202
"seed=56" 13.4387972182903 62.946
"seed=57" 13.7120420951854 61.302
"seed=58" 13.4869086120546 60.425
"seed=59" 13.5578581079843 62.939
"seed=60" 13.5120400214267 69.002
"seed=61" 13.6126643180019 55.844
"seed=62" 13.5541302992879 71.017
"seed=63" 13.5029710992528 51.474
"seed=64" 13.4534431398737 51.664
"seed=65" 13.7157626444309 53.687
"seed=66" 13.6072573822076 54.152
"seed=67" 13.646965319386 58.209
"seed=68" 13.4546393557964 48.779
"seed=69" 13.5306794878292 49.549
"seed=70" 13.5084691916337 49.465
"seed=71" 13.4815137032329 54.341
"seed=72" 13.4949103100928 55.287
"seed=73" 13.463269510439 48.566
"seed=74" 13.5810854742642 49.565
"seed=75" 13.6217002810548 69.56
"seed=76" 13.5315086355609 51.386
"seed=77" 13.5440526037677 97.602
"seed=78" 13.4657092932081 56.32
"seed=79" 13.4692531410647 43.329
"seed=80" 13.5073361158486 62.087
"seed=81" 13.5124436744352 84.618
"seed=82" 13.4617789660074 59.752
"seed=83" 13.4359080026226 63.014
"seed=84" 13.5746207474708 51.029
"seed=85" 13.5678885078161 66.803
"seed=86" 13.4884721720176 78.44
"seed=87" 13.7302249127115 82.805
"seed=88" 13.4966183421722 53.552
"seed=89" 13.5663093179272 48.77
"seed=90" 13.5325318480106 49.927
"seed=91" 13.6023895150895 48.693
"seed=92" 13.550055013733 51.459
"seed=93" 13.5826400084391 50.812
"seed=94" 13.5440388520838 66.478
"seed=95" 13.6277397260817 56.365
"seed=96" 13.6328800018445 59.846
"seed=97" 13.544074023942 50.847
"seed=98" 13.5201687496708 48.507
"seed=99" 13.5248625608392 91.194
"seed=100" 13.5837163642561 57.871
