"Inaccuracy" "Seconds"
"seed=1" 14.7633965384369 16.475
"seed=2" 14.3035242307476 17.96
"seed=3" 14.8184664278213 16.421
"seed=4" 14.2881545266593 17.002
"seed=5" 14.1772758322816 28.021
"seed=6" 14.6115417594485 16.983
"seed=7" 14.3761409932279 14.665
"seed=8" 14.4020226788593 15.575
"seed=9" 14.2107909006925 15.846
"seed=10" 14.4049127411809 20.074
"seed=11" 14.5812777718031 16.424
"seed=12" 14.0836557557621 15.584
"seed=13" 14.3812343010358 16.742
"seed=14" 14.2468117613724 17.008
"seed=15" 14.0576559432371 14.657
"seed=16" 14.1322303798694 15.486
"seed=17" 14.281341295025 15.282
"seed=18" 14.5352791343836 15.51
"seed=19" 14.2793781961 17.366
"seed=20" 14.2160674331136 18.199
"seed=21" 14.2203795735197 17.007
"seed=22" 14.3373211146322 13.567
"seed=23" 14.1317235266887 14.208
"seed=24" 14.3389620251677 16.244
"seed=25" 14.0391091880511 15.049
"seed=26" 14.4848070058835 18.873
"seed=27" 14.4969681408352 14.452
"seed=28" 14.3512082690771 16.486
"seed=29" 14.1857047229632 16.771
"seed=30" 14.6590411851055 16.461
"seed=31" 14.4972369301218 17.585
"seed=32" 14.6074284815308 26.154
"seed=33" 13.8493773083311 17.056
"seed=34" 14.3825634306129 17.031
"seed=35" 14.3859275842172 17.103
"seed=36" 14.2867828467546 18.56
"seed=37" 14.258095213467 17.051
"seed=38" 14.30058884323 16.184
"seed=39" 14.5562015587442 14.205
"seed=40" 14.561225883508 17.444
"seed=41" 13.8250596004011 23.525
"seed=42" 14.2053329311009 17.648
"seed=43" 14.4165438531975 13.866
"seed=44" 14.2593227530417 17.322
"seed=45" 14.3888901651394 15.9
"seed=46" 14.2937333136038 13.596
"seed=47" 14.4373354324013 15.577
"seed=48" 14.1019674508043 22.932
"seed=49" 14.0194702135378 15.893
"seed=50" 14.3675753199325 17.386
"seed=51" 14.6577983036162 14.782
"seed=52" 14.2379818299897 14.207
"seed=53" 15.0149499514724 17.947
"seed=54" 14.2457034076331 19.14
"seed=55" 14.296522003985 15.044
"seed=56" 14.1464745979506 17.672
"seed=57" 14.3160021357937 16.789
"seed=58" 14.2670120267317 19.41
"seed=59" 14.4285740583991 19.109
"seed=60" 14.3060018541396 18.491
"seed=61" 14.3687530298184 15.553
"seed=62" 14.0456536958747 15.853
"seed=63" 14.2672141941626 17.111
"seed=64" 14.0790990858544 28.824
"seed=65" 14.7047729786945 14.765
"seed=66" 14.5511557206304 17.071
"seed=67" 14.4251637681225 14.155
"seed=68" 13.9415287390784 15.634
"seed=69" 14.1066567977938 15.274
"seed=70" 14.3597842875874 18.262
"seed=71" 13.9848174051159 27.018
"seed=72" 14.3342621206236 20.592
"seed=73" 14.1676376465854 15.561
"seed=74" 14.5320259198967 14.984
"seed=75" 14.2793249512264 15.612
"seed=76" 14.2696922004021 15.288
"seed=77" 14.8866631182169 16.809
"seed=78" 14.5150348323632 16.765
"seed=79" 14.2303962667583 17.076
"seed=80" 14.2764221511239 20.861
"seed=81" 14.1017791381169 14.412
"seed=82" 14.1344243697396 14.697
"seed=83" 14.3239112869143 17.075
"seed=84" 14.2284008004458 14.385
"seed=85" 14.2983796208186 20.606
"seed=86" 14.2885625403647 14.371
"seed=87" 14.4346363334044 20.392
"seed=88" 14.2012969694085 21.528
"seed=89" 14.24054708358 18.548
"seed=90" 14.1479181664468 19.463
"seed=91" 14.4750241016699 18.034
"seed=92" 14.3585650492927 15.606
"seed=93" 14.115082372547 15.845
"seed=94" 14.503478376653 14.125
"seed=95" 14.1246182648617 17.622
"seed=96" 14.6365531483599 17.948
"seed=97" 14.2850618253982 13.804
"seed=98" 14.1307165718329 16.759
"seed=99" 14.4805684490329 15.37
"seed=100" 14.1421832768763 18.003
