"Inaccuracy" "Seconds"
"seed=1" 14.6468240354045 17.992
"seed=2" 14.2460263693734 17.133
"seed=3" 14.5287860184356 23.469
"seed=4" 14.3043563971411 22.27
"seed=5" 14.2538907878959 20.794
"seed=6" 14.365254399583 22.618
"seed=7" 14.2973809062155 17.688
"seed=8" 14.142137382165 23.743
"seed=9" 14.2721611644938 19.553
"seed=10" 14.4266455609127 21.158
"seed=11" 14.6342780352549 19.963
"seed=12" 14.2147591183065 19.979
"seed=13" 14.3376506656764 26.484
"seed=14" 14.4202211131087 21.849
"seed=15" 14.2908422835634 21.02
"seed=16" 14.1004092574813 22.62
"seed=17" 14.2271811725168 28.179
"seed=18" 14.3603554331775 24.429
"seed=19" 14.288807018323 18.578
"seed=20" 14.3672027456203 22.267
"seed=21" 14.2512192238881 21.211
"seed=22" 14.4035961050236 15.855
"seed=23" 14.0448322829232 24.804
"seed=24" 14.1736775067976 20.555
"seed=25" 14.1915955190048 20.531
"seed=26" 14.614233250126 17.821
"seed=27" 14.2994620733926 20.415
"seed=28" 14.2236681222751 18.293
"seed=29" 14.1059823740302 24.581
"seed=30" 14.7062446004565 21.144
"seed=31" 14.4263789174537 21.517
"seed=32" 14.4309138758029 16.785
"seed=33" 13.9853157578711 17.549
"seed=34" 14.368950151309 18.288
"seed=35" 14.2364980729458 22.808
"seed=36" 14.2222559413435 20.481
"seed=37" 14.3566591655425 16.04
"seed=38" 14.3850196403483 28.614
"seed=39" 14.2973783844493 32.301
"seed=40" 14.5268028484536 22.31
"seed=41" 14.1470803390916 20.414
"seed=42" 14.12394282597 17.123
"seed=43" 14.200450539183 20.836
"seed=44" 14.4376703222011 19.337
"seed=45" 14.39654218674 19.026
"seed=46" 14.1951968496483 17.162
"seed=47" 14.3879987467218 20.481
"seed=48" 14.3784296123522 18.648
"seed=49" 14.308063309247 28.925
"seed=50" 14.1412367163838 19.752
"seed=51" 14.4449919785328 34.367
"seed=52" 14.2046647498509 25.217
"seed=53" 14.6765437016159 17.419
"seed=54" 14.0768991220859 20.146
"seed=55" 14.1996346425015 18.65
"seed=56" 14.2549339069058 19.012
"seed=57" 14.5082857857606 14.918
"seed=58" 14.2249561340824 18.608
"seed=59" 14.3845405875007 20.454
"seed=60" 14.3730874595983 20.416
"seed=61" 14.4379300707929 20.05
"seed=62" 14.098246189768 21.146
"seed=63" 14.2982371266826 20.399
"seed=64" 13.9453235835112 31.516
"seed=65" 14.5010079286552 18.903
"seed=66" 14.5734011146178 18.276
"seed=67" 14.3187308357991 19.353
"seed=68" 13.9544410546086 20.511
"seed=69" 14.1772756036737 18.948
"seed=70" 14.3258185528612 21.502
"seed=71" 14.1001066345603 22.636
"seed=72" 14.1607956189554 24.802
"seed=73" 14.2085626475899 21.12
"seed=74" 14.4925200916508 30.816
"seed=75" 14.3343732175502 22.317
"seed=76" 14.307790667047 31.522
"seed=77" 14.5105137254113 29.605
"seed=78" 14.3059675230028 21.122
"seed=79" 14.2238834687358 20.771
"seed=80" 14.172300418993 18.218
"seed=81" 14.2151261776951 20.369
"seed=82" 14.1734416641455 18.211
"seed=83" 14.3082211314779 20.102
"seed=84" 14.1974340894369 32.677
"seed=85" 14.32516789892 19.801
"seed=86" 14.4259090495222 22.711
"seed=87" 14.4118974993999 19.288
"seed=88" 14.1848507217713 18.958
"seed=89" 14.2222964633576 19.974
"seed=90" 14.2748998949927 17.859
"seed=91" 14.4145391593915 20.822
"seed=92" 14.3956682967465 21.968
"seed=93" 14.1623880969548 24.199
"seed=94" 14.5282330249083 19.039
"seed=95" 14.2880878977527 26.714
"seed=96" 14.4348228445791 18.615
"seed=97" 14.2549204830118 29.936
"seed=98" 14.2435717198638 15.935
"seed=99" 14.4208729344411 23.338
"seed=100" 14.2408889729441 19.257
